self,pid,command,shared_obj,symbol
250298370.0,64063,python,python,_PyEval_EvalFrameDefault
200932240.0,64409,python,python,_PyEval_EvalFrameDefault
198676298.0,64631,python,python,_PyEval_EvalFrameDefault
196507009.0,64492,python,python,_PyEval_EvalFrameDefault
195207036.0,64196,python,python,_PyEval_EvalFrameDefault
192428860.0,64600,python,python,_PyEval_EvalFrameDefault
188656108.0,64536,python,python,_PyEval_EvalFrameDefault
70500192.0,64063,python,python,unicodekeys_lookup_unicode
69014906.0,64063,python,python,_PyObject_Malloc
65533165.0,64409,python,python,unicodekeys_lookup_unicode
60268095.0,64409,python,python,_PyObject_Malloc
59816768.0,64196,python,python,unicodekeys_lookup_unicode
59073458.0,64536,python,python,unicodekeys_lookup_unicode
57347440.0,64600,python,python,_PyObject_Malloc
55581848.0,64631,python,python,_PyEval_EvalFrameDefault
55405922.0,64409,python,python,_PyEval_EvalFrameDefault
55341838.0,64492,python,python,unicodekeys_lookup_unicode
55108890.0,64492,python,python,_PyObject_Malloc
55106840.0,64631,python,python,unicodekeys_lookup_unicode
54763130.0,64536,python,python,_PyEval_EvalFrameDefault
54118743.0,64631,python,python,_PyObject_Malloc
53156212.0,64536,python,python,_PyObject_Malloc
52930765.0,64600,python,python,unicodekeys_lookup_unicode
52626304.0,64196,python,python,_PyEval_EvalFrameDefault
49125076.0,64063,python,python,_Py_dict_lookup
47794273.0,64600,python,python,_PyEval_EvalFrameDefault
47401082.0,64063,python,python,_PyFrame_ClearExceptCode
46840564.0,64196,python,python,_PyObject_Malloc
46443362.0,64536,python,python,_Py_dict_lookup
46408066.0,64600,python,python,_Py_dict_lookup
45655888.0,64063,python,python,_PyObject_Free
45219010.0,64536,python,python,_PyFrame_ClearExceptCode
43211908.0,64492,python,python,_PyObject_Free
41965249.0,64492,python,python,_Py_dict_lookup
41711488.0,64631,python,python,_Py_dict_lookup
41707527.0,64409,python,python,_PyFrame_ClearExceptCode
41690242.0,64196,python,python,_PyObject_Free
40677366.0,64196,python,python,_PyFrame_ClearExceptCode
