self,pid,command,shared_obj,symbol
2521805737.0,64787,python,python,_PyEval_EvalFrameDefault
2342082390.0,65447,python,python,_PyEval_EvalFrameDefault
2341356644.0,65326,python,python,_PyEval_EvalFrameDefault
2332439985.0,65605,python,python,_PyEval_EvalFrameDefault
2329967915.0,64903,python,python,_PyEval_EvalFrameDefault
2328711656.0,65025,python,python,_PyEval_EvalFrameDefault
883728785.0,64787,python,python,_Py_Dealloc
813138819.0,65326,python,python,_Py_Dealloc
812922100.0,65025,python,python,_Py_Dealloc
809395758.0,65447,python,python,_Py_Dealloc
790314219.0,65605,python,python,_Py_Dealloc
777751929.0,64903,python,python,_Py_Dealloc
598959746.0,64787,python,python,async_gen_asend_dealloc
548058639.0,65447,python,python,async_gen_asend_dealloc
545979763.0,65326,python,python,async_gen_asend_dealloc
536945774.0,65605,python,python,async_gen_asend_dealloc
529310678.0,64903,python,python,async_gen_asend_dealloc
517086507.0,64787,python,python,_PyAsyncGenASend_Send
515115279.0,65025,python,python,async_gen_asend_dealloc
466932059.0,65605,python,python,_PyAsyncGenASend_Send
466502413.0,64903,python,python,_PyAsyncGenASend_Send
461803460.0,65326,python,python,_PyAsyncGenASend_Send
446775912.0,65025,python,python,_PyAsyncGenASend_Send
445804963.0,65447,python,python,_PyAsyncGenASend_Send
411801915.0,64787,python,python,_PyObject_Malloc
391492598.0,65326,python,python,_PyObject_Malloc
390662965.0,65447,python,python,_PyObject_Free
390503814.0,65447,python,python,_PyObject_Malloc
381946234.0,64787,python,python,_PyObject_Free
375170977.0,64903,python,python,_PyObject_Malloc
373009321.0,65605,python,python,_PyObject_Malloc
372042271.0,65025,python,python,_PyObject_Malloc
367051730.0,65447,python,python,tuple_dealloc
364328599.0,65605,python,python,_PyObject_Free
360676925.0,64787,python,python,tuple_dealloc
353408940.0,64787,python,python,async_gen_anext
350969491.0,64787,python,python,_PyJIT_Entry
350471666.0,65326,python,python,_PyObject_Free
348873627.0,64903,python,python,_PyObject_Free
347819135.0,64903,python,python,async_gen_anext
338902355.0,65025,python,python,_PyJIT_Entry
337022859.0,65025,python,python,_PyObject_Free
336000743.0,65447,python,python,async_gen_anext
335950057.0,65605,python,python,tuple_dealloc
335050936.0,65447,python,python,_PyJIT_Entry
334771842.0,65025,python,python,async_gen_anext
332321173.0,65605,python,python,async_gen_anext
330209983.0,65326,python,python,async_gen_anext
327733412.0,65326,python,python,_PyJIT_Entry
322400277.0,65025,python,python,tuple_dealloc
318163281.0,65605,python,python,_PyJIT_Entry
317485173.0,64903,python,python,tuple_dealloc
316915127.0,64787,python,python,_Py_NewReference
312343433.0,65326,python,python,tuple_dealloc
308599498.0,64903,python,python,_PyJIT_Entry
299485201.0,65025,python,python,_PyType_AllocNoTrack
297564387.0,64787,python,python,_PyType_AllocNoTrack
295248385.0,65605,python,python,_Py_NewReference
294968147.0,65326,python,python,_PyType_AllocNoTrack
288002054.0,64903,python,python,_PyType_AllocNoTrack
286686213.0,64903,python,python,_Py_NewReference
286363163.0,65447,python,python,_PyType_AllocNoTrack
285127087.0,65025,python,python,_Py_NewReference
284875391.0,65447,python,python,_Py_NewReference
284029260.0,65326,python,python,_Py_NewReference
282857082.0,65605,python,python,_PyType_AllocNoTrack
278417308.0,64787,python,python,PyErr_ExceptionMatches
275930893.0,65447,python,python,_PyAsyncGenValueWrapperNew
269650161.0,64787,python,python,_PyObject_MakeTpCall
