self,pid,command,shared_obj,symbol
5142467232.0,66722,python,python,k_mul
4758688382.0,67436,python,python,k_mul
4724174025.0,67087,python,python,k_mul
4715094407.0,67623,python,python,k_mul
4704148914.0,66899,python,python,k_mul
4685214202.0,67809,python,python,k_mul
4677234508.0,67250,python,python,k_mul
1773472493.0,66722,python,python,gc_collect_main
1586200650.0,67250,python,python,gc_collect_main
1578369807.0,67436,python,python,gc_collect_main
1573802558.0,66899,python,python,gc_collect_main
1573726613.0,67087,python,python,gc_collect_main
1559245650.0,67623,python,python,gc_collect_main
1556994428.0,67809,python,python,gc_collect_main
1126477429.0,66722,python,python,_PyEval_EvalFrameDefault
980027335.0,66899,python,python,_PyEval_EvalFrameDefault
974439041.0,67436,python,python,_PyEval_EvalFrameDefault
973814496.0,67623,python,python,_PyEval_EvalFrameDefault
969737728.0,67250,python,python,_PyEval_EvalFrameDefault
959481276.0,67809,python,python,_PyEval_EvalFrameDefault
954791552.0,67087,python,python,_PyEval_EvalFrameDefault
827133740.0,66722,python,python,_PyObject_Malloc
809397594.0,66722,python,python,visit_reachable
789276212.0,67250,python,python,_PyObject_Malloc
766928277.0,66899,python,python,_PyObject_Malloc
748401453.0,67087,python,python,_PyObject_Malloc
743197680.0,67809,python,python,_PyObject_Malloc
741061787.0,67623,python,python,_PyObject_Malloc
738467690.0,67436,python,python,_PyObject_Malloc
734620462.0,67087,python,python,visit_reachable
717763129.0,66899,python,python,visit_reachable
716011412.0,67436,python,python,visit_reachable
715744941.0,67623,python,python,visit_reachable
715320329.0,67809,python,python,visit_reachable
710202224.0,66722,python,python,visit_decref
705842965.0,67250,python,python,visit_reachable
652454392.0,67436,python,python,visit_decref
645816822.0,66899,python,python,visit_decref
643468312.0,67623,python,python,visit_decref
643343184.0,67250,python,python,visit_decref
642157882.0,67809,python,python,visit_decref
639700567.0,67087,python,python,visit_decref
585175640.0,66722,python,python,_PyObject_Free
570994651.0,66722,python,python,PyErr_CheckSignals
550126039.0,67250,python,python,_PyObject_Free
550122866.0,67436,python,python,_PyObject_Free
544652052.0,66899,python,python,_PyObject_Free
533597089.0,67087,python,python,_PyObject_Free
527771223.0,67623,python,python,PyErr_CheckSignals
525648585.0,67809,python,python,_PyObject_Free
523353746.0,67087,python,python,PyErr_CheckSignals
523181677.0,67623,python,python,_PyObject_Free
520306845.0,67250,python,python,PyErr_CheckSignals
514922349.0,66899,python,python,PyErr_CheckSignals
505935602.0,67809,python,python,PyErr_CheckSignals
491865803.0,67436,python,python,PyErr_CheckSignals
468986169.0,67250,python,python,k_mul
468159835.0,67436,python,python,k_mul
467292000.0,67087,python,python,k_mul
460810370.0,67809,python,python,k_mul
451792090.0,67623,python,python,k_mul
357956059.0,66722,python,python,_Py_Dealloc
354425364.0,66722,python,python,_PyErr_CheckSignalsTstate
341796657.0,67809,python,python,_Py_Dealloc
338562009.0,67250,python,python,_Py_Dealloc
333819631.0,66899,python,python,_Py_Dealloc
332659985.0,67623,python,python,_Py_Dealloc
329666231.0,67087,python,python,_PyErr_CheckSignalsTstate
326737945.0,67436,python,python,_Py_Dealloc
324001581.0,67436,python,python,_PyErr_CheckSignalsTstate
322204611.0,67087,python,python,_Py_Dealloc
319896647.0,67809,python,python,_PyErr_CheckSignalsTstate
319851374.0,67623,python,python,_PyErr_CheckSignalsTstate
319313284.0,67250,python,python,_PyErr_CheckSignalsTstate
317277175.0,66899,python,python,_PyErr_CheckSignalsTstate
306455080.0,66722,python,python,initialize_locals
305281164.0,66722,python,python,_PyFrame_ClearExceptCode
302332275.0,66722,python,python,PyThread_get_thread_ident
301685278.0,66722,python,python,_PyRunRemoteDebugger
296401535.0,66899,python,python,PyThread_get_thread_ident
292566656.0,67809,python,python,PyThread_get_thread_ident
291949778.0,67250,python,python,PyThread_get_thread_ident
291375118.0,67436,python,python,_PyFrame_ClearExceptCode
290989851.0,67623,python,python,PyThread_get_thread_ident
289049154.0,67809,python,python,_PyRunRemoteDebugger
288510043.0,67250,python,python,_PyFrame_ClearExceptCode
