self,pid,command,shared_obj,symbol
4278199955.0,73279,python,python,gc_collect_main
3911713151.0,74147,python,python,gc_collect_main
3907918261.0,74564,python,python,gc_collect_main
3873293679.0,73683,python,python,gc_collect_main
3871723947.0,74358,python,python,gc_collect_main
3838782769.0,73477,python,python,gc_collect_main
2416976555.0,73279,python,python,_PyEval_EvalFrameDefault
2107081987.0,73683,python,python,_PyEval_EvalFrameDefault
2104720276.0,74147,python,python,_PyEval_EvalFrameDefault
2067661961.0,74358,python,python,_PyEval_EvalFrameDefault
2019464088.0,73477,python,python,_PyEval_EvalFrameDefault
2013809510.0,74564,python,python,_PyEval_EvalFrameDefault
1910575786.0,73279,python,python,visit_reachable
1720218107.0,73683,python,python,visit_reachable
1711029124.0,74358,python,python,visit_reachable
1708887454.0,74147,python,python,visit_reachable
1701664966.0,73477,python,python,visit_reachable
1694031659.0,74564,python,python,visit_reachable
1672107646.0,73279,python,python,visit_decref
1552243257.0,73683,python,python,visit_decref
1540713073.0,73477,python,python,visit_decref
1536332635.0,74147,python,python,visit_decref
1535253469.0,74358,python,python,visit_decref
1523545680.0,74564,python,python,visit_decref
638963647.0,73279,python,python,_PyObject_Malloc
590550853.0,73683,python,python,_PyObject_Malloc
588414356.0,74564,python,python,_PyObject_Malloc
573972307.0,74147,python,python,_PyObject_Malloc
566103300.0,73477,python,python,_PyObject_Malloc
562371167.0,73279,python,python,initialize_locals
558376470.0,74358,python,python,_PyObject_Malloc
545118850.0,73279,python,python,_PyFrame_ClearExceptCode
519771089.0,74358,python,python,initialize_locals
519137085.0,74564,python,python,_PyFrame_ClearExceptCode
511262922.0,74147,python,python,_PyFrame_ClearExceptCode
507689016.0,73477,python,python,_PyFrame_ClearExceptCode
506181767.0,74358,python,python,_PyFrame_ClearExceptCode
503943684.0,74147,python,python,initialize_locals
503164210.0,73477,python,python,initialize_locals
497987548.0,73279,python,python,subtype_traverse
487764443.0,73683,python,python,_PyFrame_ClearExceptCode
480623688.0,73683,python,python,initialize_locals
478988610.0,74564,python,python,initialize_locals
466075839.0,73279,python,python,_PyEval_Vector
462328022.0,73279,python,python,_PyGC_VisitFrameStack
