self,pid,command,shared_obj,symbol
1723524478.0,75896,python,python,gc_collect_main
1642144664.0,76001,python,python,gc_collect_main
1639096398.0,76623,python,python,gc_collect_main
1637099604.0,76229,python,python,gc_collect_main
1637084221.0,76507,python,python,gc_collect_main
1630633348.0,76391,python,python,gc_collect_main
1044884869.0,75896,python,python,_PyEval_EvalFrameDefault
894362864.0,76001,python,python,_PyEval_EvalFrameDefault
881489108.0,76507,python,python,_PyEval_EvalFrameDefault
880755525.0,76623,python,python,_PyEval_EvalFrameDefault
867923954.0,76391,python,python,_PyEval_EvalFrameDefault
854739238.0,76229,python,python,_PyEval_EvalFrameDefault
803647644.0,75896,python,python,visit_reachable
764353751.0,76229,python,python,visit_reachable
744559036.0,76507,python,python,visit_reachable
742108694.0,76623,python,python,visit_reachable
735177452.0,76391,python,python,visit_reachable
720180980.0,76001,python,python,visit_reachable
705662854.0,75896,python,python,visit_decref
679551035.0,76623,python,python,visit_decref
664279784.0,76391,python,python,visit_decref
659179882.0,76229,python,python,visit_decref
657619136.0,76001,python,python,visit_decref
646862830.0,76507,python,python,visit_decref
392741722.0,75896,python,python,_PyObject_Malloc
387297635.0,76391,python,python,_PyObject_Malloc
383656275.0,76229,python,python,_PyObject_Malloc
381447668.0,76001,python,python,_PyObject_Malloc
365160972.0,76623,python,python,_PyObject_Malloc
361368554.0,76507,python,python,_PyObject_Malloc
273734660.0,75896,python,python,_PyFrame_ClearExceptCode
270650433.0,76507,python,python,_PyFrame_ClearExceptCode
263795266.0,76229,python,python,_PyFrame_ClearExceptCode
261233541.0,76001,python,python,_PyFrame_ClearExceptCode
259339904.0,76623,python,python,_PyFrame_ClearExceptCode
253194018.0,76391,python,python,_PyFrame_ClearExceptCode
248329599.0,75896,python,python,initialize_locals
240737302.0,76391,python,python,initialize_locals
236985557.0,76229,python,python,initialize_locals
236250325.0,76001,python,python,initialize_locals
235531523.0,76507,python,python,initialize_locals
234278106.0,76623,python,python,initialize_locals
232863349.0,75896,python,python,subtype_traverse
231369500.0,76001,python,python,subtype_traverse
227335984.0,76507,python,python,subtype_traverse
222960140.0,76623,python,python,subtype_traverse
221870576.0,75896,python,python,_Py_Dealloc
221159383.0,76391,python,python,subtype_traverse
211970549.0,76229,python,python,subtype_traverse
208969619.0,76507,python,python,_Py_Dealloc
207827626.0,76391,python,python,_Py_Dealloc
203805543.0,76623,python,python,_Py_Dealloc
200964439.0,76001,python,python,_Py_Dealloc
197998935.0,75896,python,python,_PyEval_Vector
197587245.0,76229,python,python,_Py_Dealloc
197091570.0,75896,python,python,_PyObject_Free
195878631.0,75896,python,python,_PyTypeCache_Lookup
194839869.0,76391,python,python,_PyObject_Free
186135861.0,75896,python,python,PyObject_GC_UnTrack
182131619.0,76229,python,python,_PyObject_Free
179722730.0,76001,python,python,_PyObject_Free
175979558.0,76507,python,python,PyObject_GC_UnTrack
175509148.0,76229,python,python,_PyEval_Vector
173036169.0,76623,python,python,PyObject_GC_UnTrack
172601845.0,76001,python,python,_PyTypeCache_Lookup
172198500.0,76001,python,python,_PyEval_Vector
171030262.0,76001,python,python,PyObject_GC_UnTrack
170299632.0,76507,python,python,_PyObject_Free
167987440.0,76391,python,python,_PyEval_Vector
167554469.0,75896,python,python,_PyEval_FrameClearAndPop
166546642.0,76507,python,python,_PyEval_FrameClearAndPop
166049056.0,76391,python,python,_PyEval_FrameClearAndPop
165066553.0,75896,python,python,_PyGC_VisitFrameStack
163829988.0,76623,python,python,_PyObject_Free
163538702.0,76391,python,python,PyObject_GC_UnTrack
162332331.0,76623,python,python,_PyTypeCache_Lookup
162114796.0,76391,python,python,_PyEval_EvalFrameDefault
159759632.0,76229,python,python,_PyEval_FrameClearAndPop
158855183.0,76623,python,python,_PyEval_Vector
158104049.0,76623,python,python,_PyEval_EvalFrameDefault
157370210.0,76507,python,python,_PyTypeCache_Lookup
157351134.0,76507,python,python,_PyEval_Vector
156098071.0,76001,python,python,_PyEval_FrameClearAndPop
156053606.0,76507,python,python,_PyEval_EvalFrameDefault
155870775.0,76229,python,python,_PyEval_EvalFrameDefault
153941695.0,76507,python,python,_PyGC_VisitFrameStack
153871064.0,76001,python,python,_PyEval_EvalFrameDefault
152379127.0,76229,python,python,_PyGC_VisitFrameStack
151797645.0,76229,python,python,_PyTypeCache_Lookup
151714497.0,76229,python,python,PyObject_GC_UnTrack
151684054.0,76391,python,python,_PyTypeCache_Lookup
151405991.0,75896,python,python,_PyEvalFramePushAndInit
151188199.0,76623,python,python,_PyGC_VisitFrameStack
148713617.0,76229,python,python,_PyEvalFramePushAndInit
148695663.0,76001,python,python,_PyGC_VisitFrameStack
147735968.0,76623,python,python,_PyEvalFramePushAndInit
146665043.0,76391,python,python,_PyGC_VisitFrameStack
144939647.0,75896,python,python,_PyMember_GetOffset
143712410.0,76623,python,python,_PyEval_FrameClearAndPop
142905337.0,76113,python,python,_PyEval_EvalFrameDefault
141993744.0,76391,python,python,_PyEvalFramePushAndInit
140496601.0,76391,python,python,_PyMember_GetOffset
137253434.0,76507,python,python,_PyEvalFramePushAndInit
136225464.0,76001,python,python,_PyEvalFramePushAndInit
132571572.0,76001,python,python,_PyMember_GetOffset
131906658.0,76507,python,python,_PyMember_GetOffset
127324155.0,76229,python,python,_PyMember_GetOffset
127126907.0,76623,python,python,_PyMember_GetOffset
112444706.0,76001,python,python,gc_collect_main
111416424.0,76391,python,python,gc_collect_main
111222113.0,76113,python,python,gc_collect_main
109731991.0,76623,python,python,_PyJIT_Entry
108809328.0,76507,python,python,gc_collect_main
105729264.0,75896,python,python,_PyJIT_Entry
105275489.0,76229,python,python,gc_collect_main
103853133.0,76623,python,python,gc_collect_main
103460150.0,76507,python,python,_PyJIT_Entry
97790260.0,76229,python,python,_PyJIT_Entry
97783018.0,76623,python,python,PyObject_RichCompareBool
97777352.0,76507,python,python,TaskObj_traverse
92756971.0,76001,python,python,PyObject_RichCompareBool
92553219.0,75896,python,python,PyObject_RichCompareBool
92358994.0,76391,python,python,_PyJIT_Entry
90818836.0,75896,python,python,TaskObj_traverse
89332225.0,75896,python,python,gen_dealloc
88850341.0,75896,python,python,tuple_dealloc
87885992.0,76001,python,python,TaskObj_traverse
87875145.0,76391,python,python,gen_dealloc
87346323.0,76001,python,python,_PyJIT_Entry
87182178.0,76229,python,python,PyObject_RichCompareBool
86893348.0,76623,python,python,TaskObj_traverse
86887016.0,76001,python,python,unicodekeys_lookup_unicode
86592053.0,76391,python,python,PyObject_RichCompareBool
85665259.0,76391,python,python,TaskObj_traverse
85370793.0,75896,python,python,_PyObject_GenericGetAttrWithDict
85307789.0,76507,python,python,PyObject_RichCompareBool
83922648.0,76229,python,python,gen_dealloc
82918878.0,76507,python,python,tuple_dealloc
82911233.0,76229,python,python,TaskObj_traverse
82638096.0,76507,python,python,_PyThreadState_PopFrame
82412020.0,76229,python,python,tuple_dealloc
82367462.0,75896,python,python,_PyObject_GetAttrStackRef
82177776.0,76623,python,python,tuple_dealloc
81900396.0,76001,python,python,tuple_dealloc
81893300.0,76507,python,python,gen_dealloc
81668224.0,76623,python,python,_PyThreadState_PopFrame
81098677.0,76001,python,python,_PyThreadState_PopFrame
80673074.0,76001,python,python,gen_dealloc
80430061.0,76391,python,python,_PyThreadState_PopFrame
80228126.0,75896,python,python,PyObject_VisitManagedDict
80151755.0,76507,python,python,_PyObject_GenericGetAttrWithDict
80132329.0,76229,python,python,_PyObject_GenericGetAttrWithDict
79680078.0,76623,python,python,_PyObject_GenericGetAttrWithDict
76922853.0,75896,python,python,_PyThreadState_PopFrame
76443832.0,76391,python,python,tuple_dealloc
76429146.0,76001,python,python,_PyObject_GenericGetAttrWithDict
75443411.0,76623,python,python,gen_dealloc
75186715.0,75896,python,python,_Py_NewReference
74999508.0,75896,python,python,set_lookkey
74930611.0,76623,python,python,unicodekeys_lookup_unicode
74731641.0,75896,python,python,_PyFrame_Traverse
74721680.0,75896,python,python,clear_slots
74434999.0,75896,python,python,gen_traverse
73995892.0,76229,python,python,PyObject_VisitManagedDict
73952171.0,76001,python,python,gen_traverse
73728808.0,76001,python,python,PyObject_VisitManagedDict
73721749.0,76229,python,python,_PyThreadState_PopFrame
73041046.0,75896,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
71754458.0,76391,python,python,_Py_NewReference
71743828.0,76391,python,python,_PyObject_GenericGetAttrWithDict
71510800.0,76507,python,python,gen_traverse
70754221.0,76623,python,python,PyObject_VisitManagedDict
70749638.0,76391,python,python,PyObject_VisitManagedDict
70268101.0,75896,python,python,_PyObject_GetMethodStackRef
69995363.0,76507,python,python,set_lookkey
69749604.0,76001,python,python,_PyObject_GetAttrStackRef
69748642.0,76391,python,python,gen_traverse
69245935.0,76001,python,python,_PyFrame_Traverse
68484228.0,76507,python,python,PyObject_VisitManagedDict
68200729.0,75896,python,python,set_traverse
67781469.0,76391,python,python,set_lookkey
67762997.0,76229,python,python,_PyFrame_Traverse
66545297.0,76229,python,python,set_lookkey
66525717.0,76507,python,python,_PyObject_GetAttrStackRef
66524989.0,76623,python,python,_PyObject_GetAttrStackRef
66518286.0,76001,python,python,clear_slots
66506368.0,76623,python,python,gen_traverse
65755255.0,76229,python,python,_Py_NewReference
65733488.0,76391,python,python,_PyObject_GetAttrStackRef
65304649.0,76623,python,python,clear_slots
65296176.0,76229,python,python,set_traverse
65021017.0,75896,python,python,PyObject_VectorcallMethod
64779317.0,76623,python,python,_PyFrame_Traverse
64562037.0,76001,python,python,set_lookkey
64063046.0,76391,python,python,clear_slots
64052333.0,76507,python,python,set_traverse
64014338.0,76507,python,python,_Py_NewReference
63782584.0,76507,python,python,clear_slots
63032163.0,76229,python,python,clear_slots
63016482.0,76229,python,python,gen_traverse
62336049.0,76229,python,python,_PyObject_GetAttrStackRef
62328731.0,76623,python,python,set_lookkey
62327176.0,76391,python,python,_PyFrame_Traverse
62307476.0,76623,python,python,_Py_NewReference
62070625.0,76001,python,python,set_traverse
61810366.0,76391,python,python,unicodekeys_lookup_unicode
61573216.0,76507,python,python,_PyFrame_Traverse
61077072.0,76391,python,python,set_traverse
60543365.0,76229,python,python,visit_decref
60241857.0,76229,python,python,PyObject_VectorcallMethod
59322961.0,76507,python,python,PyObject_VectorcallMethod
58826567.0,76391,python,python,PyObject_VectorcallMethod
