self,pid,command,shared_obj,symbol
257302175.0,95546,python,python,_PyEval_EvalFrameDefault
244563809.0,95596,python,python,_PyEval_EvalFrameDefault
239787207.0,95623,python,python,_PyEval_EvalFrameDefault
235426154.0,95710,python,python,_PyEval_EvalFrameDefault
235048426.0,95683,python,python,_PyEval_EvalFrameDefault
221185737.0,95569,python,python,_PyEval_EvalFrameDefault
87525940.0,95569,python,python,_PyObject_Malloc
79889650.0,95710,python,python,_PyObject_Malloc
79475465.0,95683,python,python,_PyObject_Malloc
78853392.0,95596,python,python,_PyObject_Malloc
78798909.0,95546,python,python,_PyObject_Malloc
76550552.0,95623,python,python,_PyObject_Malloc
44456473.0,95623,python,python,unicode_from_format
44006968.0,95546,python,python,unicode_from_format
39490340.0,95683,python,python,unicode_from_format
37222967.0,95569,python,python,unicode_from_format
37211875.0,95710,python,python,unicode_from_format
36978355.0,95596,python,python,unicode_from_format
35706055.0,95710,python,python,_PyEval_EvalFrameDefault
34581988.0,95596,python,python,_PyEval_EvalFrameDefault
34109537.0,95683,python,python,_PyEval_EvalFrameDefault
33483487.0,95623,python,python,_PyEval_EvalFrameDefault
33317744.0,95546,python,python,_PyObject_Free
33055516.0,95546,python,python,_PyObject_Realloc
32756137.0,95596,python,python,_PyFrame_ClearExceptCode
32674599.0,95569,python,python,_PyEval_EvalFrameDefault
31558966.0,95683,python,python,unicodekeys_lookup_unicode
31492161.0,95737,python,python,_PyEval_EvalFrameDefault
31304962.0,95546,python,python,_PyFrame_ClearExceptCode
31040052.0,95569,python,python,_PyFrame_ClearExceptCode
30940412.0,95546,python,python,_Py_dict_lookup
30286822.0,95546,python,python,_Py_VectorCallInstrumentation_StackRefSteal
29824244.0,95683,python,python,_PyFrame_ClearExceptCode
27830971.0,95683,python,python,_PyObject_Free
27296382.0,95596,python,python,_PyObject_Realloc
27117457.0,95623,python,python,_PyFrame_ClearExceptCode
27101593.0,95623,python,python,_Py_dict_lookup
27058818.0,95710,python,python,_PyFrame_ClearExceptCode
26820155.0,95623,python,python,_PyObject_Realloc
26257012.0,95596,python,python,_Py_VectorCallInstrumentation_StackRefSteal
26243817.0,95569,python,python,_Py_dict_lookup
25775307.0,95596,python,python,_PyObject_Free
25597296.0,95710,python,python,_PyObject_Free
25531374.0,95710,python,python,_Py_dict_lookup
25334607.0,95623,python,python,_PyObject_Free
24844900.0,95546,python,python,unicodekeys_lookup_unicode
24828655.0,95683,python,python,_PyObject_Realloc
24590635.0,95623,python,python,_Py_VectorCallInstrumentation_StackRefSteal
24095496.0,95710,python,python,_PyObject_Realloc
23543614.0,95569,python,python,unicodekeys_lookup_unicode
22837257.0,95569,python,python,_PyObject_Free
22053305.0,95596,python,python,PyUnicode_Format
21629028.0,95683,python,python,_Py_dict_lookup
21602503.0,95710,python,python,_Py_VectorCallInstrumentation_StackRefSteal
21589137.0,95710,python,python,unicodekeys_lookup_unicode
21343484.0,95569,python,python,_Py_VectorCallInstrumentation_StackRefSteal
20655662.0,95623,python,python,PyUnicode_Format
20588160.0,95569,python,python,_PyObject_Realloc
20359218.0,95596,python,libc.so.6,__memcpy_generic
20114443.0,95546,python,libc.so.6,__memcpy_generic
19893925.0,95623,python,python,unicodekeys_lookup_unicode
19618495.0,95683,python,python,_Py_VectorCallInstrumentation_StackRefSteal
19525534.0,95596,python,python,unicodekeys_lookup_unicode
18869190.0,95710,python,libc.so.6,__memcpy_generic
18850006.0,95569,python,libc.so.6,__memcpy_generic
18609040.0,95596,python,python,_PyUnicodeWriter_PrepareInternal
18383796.0,95546,python,libc.so.6,strchr
18335032.0,95683,python,libc.so.6,__memcpy_generic
18132741.0,95546,python,python,PyUnicode_Format
17917283.0,95546,python,python,PyErr_Format
17913772.0,95683,python,python,_PyUnicodeWriter_PrepareInternal
17877268.0,95710,python,python,PyErr_Format
17674207.0,95546,python,python,_PyUnicodeWriter_PrepareInternal
16878697.0,95710,python,python,PyDict_GetItemRef
16834761.0,95596,python,python,_Py_dict_lookup
16660807.0,95623,python,python,PyDict_GetItemRef
16383761.0,95683,python,python,PyErr_Format
15975372.0,95596,python,python,list_append
15633277.0,95569,python,python,_PyUnicodeWriter_PrepareInternal
15399093.0,95623,python,libc.so.6,strchr
15386897.0,95683,python,python,PyDict_GetItemRef
15378994.0,95596,python,python,sre_search
15376351.0,95569,python,python,PyDict_GetItemRef
15144585.0,95569,python,python,_Py_Dealloc
15138858.0,95710,python,python,long_to_decimal_string_internal
15130107.0,95623,python,libc.so.6,__memcpy_generic
14902463.0,95710,python,libc.so.6,strchr
14660831.0,95546,python,python,long_to_decimal_string_internal
14642850.0,95569,python,libc.so.6,strchr
14525299.0,95596,python,python,PyDict_GetItemRef
14426795.0,95623,python,python,list_append
