self,pid,command,shared_obj,symbol
96713224.0,96466,python,python,_Py_dict_lookup
83432075.0,97710,python,python,_Py_dict_lookup
79181177.0,96531,python,python,_Py_dict_lookup
77454598.0,96999,python,python,_Py_dict_lookup
76725245.0,98357,python,python,_Py_dict_lookup
75731835.0,96466,python,python,_PyCallMethodDescriptorFast_StackRef
74887507.0,98233,python,python,_Py_dict_lookup
54574133.0,98233,python,python,_PyCallMethodDescriptorFast_StackRef
54102214.0,96999,python,python,_PyCallMethodDescriptorFast_StackRef
53834978.0,96531,python,python,_PyCallMethodDescriptorFast_StackRef
53326480.0,97710,python,python,_PyCallMethodDescriptorFast_StackRef
51618845.0,98357,python,python,_PyCallMethodDescriptorFast_StackRef
50497304.0,96466,python,python,dict_get
49893659.0,96466,python,python,_PyObject_Malloc
44417476.0,96531,python,python,dict_get
43677277.0,98357,python,python,dict_get
40703729.0,98357,python,python,_PyObject_Malloc
39750703.0,96999,python,python,dict_get
39704183.0,97710,python,python,dict_get
36692470.0,98233,python,python,dict_get
35860724.0,96531,python,python,_PyObject_Malloc
35730369.0,96999,python,python,_PyObject_Malloc
35506969.0,96466,python,python,PyObject_RichCompareBool
34249526.0,98233,python,python,_PyObject_Malloc
33178801.0,97710,python,python,_PyObject_Free
33021039.0,97710,python,python,_PyObject_Malloc
31034985.0,98357,python,python,PyObject_RichCompareBool
31010062.0,98233,python,python,PyObject_RichCompareBool
30788444.0,96466,python,python,_PyObject_Free
30282978.0,96466,python,python,PyObject_Hash
29499657.0,97710,python,python,PyObject_RichCompareBool
28032732.0,96531,python,python,PyObject_RichCompareBool
27021767.0,96999,python,python,PyObject_RichCompareBool
26768316.0,96531,python,python,_PyObject_Free
26572263.0,96466,python,python,_PyDict_Subscript
26542010.0,98357,python,python,_PyObject_Free
25568452.0,98233,python,python,_PyObject_Free
25351690.0,96466,python,python,insertdict
24089885.0,98357,python,python,insertdict
23852749.0,96999,python,python,insertdict
23842268.0,96466,python,python,long_hash
23817944.0,98357,python,python,PyObject_Hash
22727513.0,96531,python,python,PyObject_Hash
22605237.0,96466,python,python,_PyFrame_ClearExceptCode
22353548.0,96999,python,python,_PyObject_Free
22213344.0,96466,python,python,_PyEval_EvalFrameDefault
22104514.0,96466,python,python,long_richcompare
21587072.0,96531,python,python,insertdict
21352920.0,97710,python,python,_PyDict_Subscript
20840386.0,96531,python,python,_PyObject_Realloc
20619700.0,97710,python,python,insertdict
20353868.0,96531,python,python,gen_dealloc
19857848.0,98357,python,python,PyObject_GetItem
19856494.0,96999,python,python,PyObject_Hash
19641451.0,97710,python,python,_Py_Dealloc
19126844.0,96466,python,python,PyObject_GetItem
19126052.0,96999,python,python,long_hash
19125250.0,96999,python,python,PyObject_GetItem
19082098.0,98357,python,python,long_hash
19070065.0,97710,python,python,_PyFrame_ClearExceptCode
18884605.0,96466,python,python,_Py_Dealloc
18869967.0,98233,python,python,PyObject_Hash
18869677.0,98233,python,python,long_hash
18857187.0,98233,python,python,gen_dealloc
18755403.0,98357,python,python,_PyEval_EvalFrameDefault
18376014.0,98357,python,python,long_richcompare
18368944.0,98233,python,python,_PyDict_Subscript
18223335.0,96999,python,python,_Py_Dealloc
18125337.0,96466,python,python,_PyObject_Realloc
18124783.0,97710,python,python,_PyDict_LoadBuiltinsFromGlobals
18119779.0,96531,python,python,long_hash
18118483.0,96531,python,python,PyObject_GetItem
18095201.0,98357,python,python,_PyDict_Subscript
17824515.0,96531,python,python,_PyDict_Subscript
17698727.0,96466,python,python,gen_dealloc
17638956.0,97710,python,python,PyObject_Hash
17635635.0,96999,python,python,_PyObject_Realloc
17620003.0,98357,python,python,_PyDict_LoadBuiltinsFromGlobals
17615089.0,98357,python,python,_Py_Dealloc
17359472.0,96999,python,python,_PyDict_Subscript
17324047.0,96531,python,python,_PyEval_EvalFrameDefault
17087858.0,98233,python,python,PyObject_GetItem
16888173.0,97710,python,python,_PyObject_Realloc
16880212.0,98233,python,python,_PyObject_Realloc
16860456.0,98233,python,python,insertdict
16634624.0,97710,python,python,gen_dealloc
16380536.0,97710,python,python,long_hash
