self,pid,command,shared_obj,symbol
484796158.0,790309,python,python,_PyEval_EvalFrameDefault
464548010.0,790559,python,python,_PyEval_EvalFrameDefault
439636593.0,790409,python,python,_PyEval_EvalFrameDefault
426151517.0,790347,python,python,_PyEval_EvalFrameDefault
424344776.0,790520,python,python,_PyEval_EvalFrameDefault
416008735.0,790631,python,python,_PyEval_EvalFrameDefault
288694646.0,790631,python,tracer.cpython-316-aarch64-linux-gnu.so,CTracer_trace
285201151.0,790309,python,tracer.cpython-316-aarch64-linux-gnu.so,CTracer_trace
280973466.0,790520,python,tracer.cpython-316-aarch64-linux-gnu.so,CTracer_trace
279442963.0,790309,python,python,call_instrumentation_vector.part.0.isra.0
263618868.0,790631,python,python,call_instrumentation_vector.part.0.isra.0
262053631.0,790347,python,tracer.cpython-316-aarch64-linux-gnu.so,CTracer_trace
261313621.0,790559,python,python,call_instrumentation_vector.part.0.isra.0
260144262.0,790347,python,python,call_instrumentation_vector.part.0.isra.0
257374315.0,790409,python,python,_Py_call_instrumentation_line
257160672.0,790409,python,tracer.cpython-316-aarch64-linux-gnu.so,CTracer_trace
255890291.0,790409,python,python,call_instrumentation_vector.part.0.isra.0
255117060.0,790309,python,python,_Py_call_instrumentation_line
245694347.0,790520,python,python,call_instrumentation_vector.part.0.isra.0
242457294.0,790559,python,tracer.cpython-316-aarch64-linux-gnu.so,CTracer_trace
241530955.0,790631,python,python,_Py_call_instrumentation_line
234540255.0,790347,python,python,_Py_call_instrumentation_line
229774980.0,790559,python,python,_Py_call_instrumentation_line
227567158.0,790520,python,python,_Py_call_instrumentation_line
171899054.0,790559,python,python,unicodekeys_lookup_unicode
163953341.0,790309,python,python,_Py_dict_lookup
147596988.0,790347,python,python,_Py_dict_lookup
147579686.0,790631,python,python,_Py_dict_lookup
143317812.0,790347,python,python,unicodekeys_lookup_unicode
143058977.0,790309,python,python,unicodekeys_lookup_unicode
142136422.0,790631,python,python,unicodekeys_lookup_unicode
142120113.0,790409,python,python,_Py_dict_lookup
138349359.0,790520,python,python,_Py_dict_lookup
138115662.0,790520,python,python,unicodekeys_lookup_unicode
136366925.0,790559,python,python,_Py_dict_lookup
135190369.0,790347,python,python,_PyTypeCache_Lookup
133805583.0,790409,python,python,unicodekeys_lookup_unicode
111290000.0,790309,python,python,_PyObject_Free
108591728.0,790409,python,python,_PyObject_Free
104772190.0,790559,python,python,_PyObject_Free
104350454.0,790309,python,python,PyDict_GetItem
103737495.0,790347,python,python,_PyObject_Free
102127839.0,790631,python,python,_PyTypeCache_Lookup
101387001.0,790631,python,python,PyDict_GetItem
96387857.0,790520,python,python,_PyObject_Free
93437792.0,790631,python,python,_PyObject_Free
93183108.0,790309,python,python,set_add_entry_takeref
92933188.0,790309,python,python,_PyTypeCache_Lookup
91411542.0,790409,python,python,_PyObject_Malloc
90174055.0,790520,python,python,_PyObject_Malloc
88953959.0,790409,python,python,_PyTypeCache_Lookup
88213576.0,790520,python,python,PyDict_GetItem
87460706.0,790520,python,python,_PyTypeCache_Lookup
84726741.0,790309,python,python,siphash13
83475036.0,790559,python,python,_PyTypeCache_Lookup
