self,pid,command,shared_obj,symbol
804163909.0,820968,python,python,list_ass_slice_lock_held
750242275.0,822628,python,python,list_ass_slice_lock_held
731501690.0,821759,python,python,list_ass_slice_lock_held
729934853.0,822320,python,python,list_ass_slice_lock_held
729492514.0,822046,python,python,list_ass_slice_lock_held
726467108.0,822906,python,python,list_ass_slice_lock_held
724373863.0,821542,python,python,list_ass_slice_lock_held
702025538.0,820968,python,python,_Py_Dealloc
682503002.0,822906,python,python,_Py_Dealloc
668772595.0,822320,python,python,_Py_Dealloc
653973884.0,822046,python,python,_Py_Dealloc
635914824.0,821542,python,python,_Py_Dealloc
634673339.0,820968,python,python,list_slice_wrap
626611645.0,822628,python,python,_Py_Dealloc
624186801.0,821759,python,python,_Py_Dealloc
596933571.0,821542,python,python,list_slice_wrap
578905207.0,822906,python,python,list_slice_wrap
576765454.0,822046,python,python,list_slice_wrap
574726864.0,822320,python,python,list_slice_wrap
563392443.0,821759,python,python,list_slice_wrap
561306422.0,822628,python,python,list_slice_wrap
541343082.0,820968,python,python,_PyEval_SliceIndex
526612281.0,820968,python,python,list_dealloc
501734314.0,820968,python,python,_PyObject_Malloc
493758037.0,821542,python,python,list_dealloc
490732298.0,822906,python,python,list_dealloc
488083382.0,822046,python,python,list_dealloc
485067928.0,822628,python,python,list_dealloc
482882112.0,822628,python,python,_PyEval_SliceIndex
482284790.0,822320,python,python,_PyEval_SliceIndex
481998193.0,822320,python,python,list_dealloc
476656433.0,820968,python,python,PyObject_GC_UnTrack
475955917.0,821542,python,python,_PyEval_SliceIndex
471228487.0,822046,python,python,_PyEval_SliceIndex
469401493.0,821759,python,python,PyObject_GC_UnTrack
466748629.0,821759,python,python,_PyEval_SliceIndex
465987991.0,821759,python,python,list_dealloc
456490039.0,822906,python,python,_PyEval_SliceIndex
455809503.0,822320,python,python,PyObject_GC_UnTrack
449903489.0,820968,python,python,_PyList_SliceSubscript
446860129.0,821542,python,python,PyObject_GC_UnTrack
446088526.0,822046,python,python,PyObject_GC_UnTrack
445352347.0,822628,python,python,PyObject_GC_UnTrack
441309907.0,822628,python,python,_PyObject_Malloc
436117592.0,822320,python,python,slice_dealloc
434470508.0,820968,python,python,slice_dealloc
