self,pid,command,shared_obj,symbol
528468515.0,837077,python,python,_PyEval_EvalFrameDefault
403538047.0,838944,python,python,_PyEval_EvalFrameDefault
393550931.0,838062,python,python,_PyEval_EvalFrameDefault
390689113.0,838575,python,python,_PyEval_EvalFrameDefault
377423991.0,838767,python,python,_PyEval_EvalFrameDefault
365459416.0,838309,python,python,_PyEval_EvalFrameDefault
157153182.0,838062,python,python,_PyFrame_ClearExceptCode
157127979.0,837077,python,python,_PyFrame_ClearExceptCode
155007508.0,838767,python,python,_PyFrame_ClearExceptCode
150030797.0,838309,python,python,_PyFrame_ClearExceptCode
145786314.0,838767,python,python,_PyEval_EvalFrameDefault
145194578.0,838575,python,python,_PyEval_EvalFrameDefault
144738426.0,838575,python,python,_PyFrame_ClearExceptCode
141157177.0,837312,python,python,_PyEval_EvalFrameDefault
140865894.0,838944,python,python,_PyFrame_ClearExceptCode
136534651.0,838062,python,python,_PyEval_EvalFrameDefault
135710950.0,838309,python,python,_PyEval_EvalFrameDefault
133150469.0,838944,python,python,_PyEval_EvalFrameDefault
113002737.0,837077,python,python,_PyEval_FrameClearAndPop
100931234.0,838944,python,python,_PyEval_FrameClearAndPop
96994303.0,838062,python,python,_PyEval_FrameClearAndPop
96658055.0,838309,python,python,_PyEval_FrameClearAndPop
92505850.0,838575,python,python,_PyEval_FrameClearAndPop
87077397.0,838767,python,python,_PyEval_FrameClearAndPop
67241468.0,838767,python,python,initialize_locals
66243449.0,838575,python,python,initialize_locals
63677100.0,838944,python,python,initialize_locals
62966768.0,837077,python,python,initialize_locals
60520241.0,838062,python,python,initialize_locals
59042161.0,838309,python,python,initialize_locals
55340460.0,838944,python,python,long_bitwise
52538266.0,837077,python,python,_PyObject_Free
52337774.0,838575,python,python,_PyObject_Free
50815434.0,838062,python,python,_PyObject_Free
50131227.0,837077,python,python,insertdict
47850544.0,837077,python,python,_PyThreadState_PopFrame
47826354.0,837077,python,python,long_bitwise
47357513.0,838767,python,python,_PyObject_Free
46868228.0,838062,python,python,_PyCompactLong_Add
46619789.0,837077,python,python,_PyJIT_Entry
46140599.0,838575,python,python,long_bitwise
45239789.0,837077,python,python,_PyObject_Malloc
44892748.0,838309,python,python,long_bitwise
44633317.0,838944,python,python,insertdict
44402767.0,838575,python,python,insertdict
44168916.0,838767,python,python,insertdict
44141410.0,838944,python,python,_PyObject_Free
42606317.0,837077,python,python,_PyCompactLong_Add
41926267.0,838767,python,python,_PyThreadState_PopFrame
41409245.0,838767,python,python,_PyCompactLong_Add
41178016.0,838575,python,python,_PyCompactLong_Add
40950585.0,838944,python,python,_PyJIT_Entry
40677901.0,838309,python,python,_PyThreadState_PopFrame
40667550.0,838062,python,python,long_bitwise
40630078.0,838309,python,python,_PyCompactLong_Add
40025952.0,838944,python,python,_PyCompactLong_Add
39623346.0,838309,python,python,_PyObject_Free
38846339.0,838767,python,python,_PyObject_Malloc
38695250.0,838575,python,python,_PyEvalFramePushAndInit
38677842.0,838309,python,python,insertdict
38649185.0,838767,python,python,long_bitwise
38416232.0,838062,python,python,insertdict
38201981.0,838062,python,python,_PyJIT_Entry
37947592.0,838062,python,python,_PyEvalFramePushAndInit
37936169.0,838944,python,python,_PyThreadState_PopFrame
37728762.0,838575,python,python,_PyObject_Malloc
37702202.0,838575,python,python,_PyThreadState_PopFrame
37189198.0,837077,python,python,_PyEvalFramePushAndInit
36701853.0,838062,python,python,_PyThreadState_PopFrame
35952483.0,838062,python,python,_PyObject_Malloc
35729236.0,838767,python,python,_PyEvalFramePushAndInit
35188793.0,838575,python,python,_PyJIT_Entry
34966960.0,838944,python,python,_PyObject_Malloc
34484994.0,838309,python,python,_PyEvalFramePushAndInit
34246777.0,838767,python,python,_PyJIT_Entry
33640971.0,838309,python,python,unicodekeys_lookup_unicode
33254184.0,838575,python,python,long_dealloc
