self,pid,command,shared_obj,symbol
366615469.0,143520,python,python,PyFloat_FromDouble
363454220.0,143381,python,python,PyFloat_FromDouble
346539646.0,143322,python,python,PyFloat_FromDouble
335370968.0,143250,python,python,PyFloat_FromDouble
333041583.0,143461,python,python,PyFloat_FromDouble
323890119.0,143585,python,python,PyFloat_FromDouble
293533733.0,143739,python,python,PyFloat_FromDouble
244297738.0,143322,python,libm.so.6,pow@@GLIBC_2.29
240913952.0,143520,python,python,float_dealloc
232501551.0,143520,python,libm.so.6,pow@@GLIBC_2.29
230272594.0,143250,python,libm.so.6,pow@@GLIBC_2.29
220501370.0,143739,python,libm.so.6,pow@@GLIBC_2.29
217914614.0,143585,python,libm.so.6,pow@@GLIBC_2.29
216505906.0,143461,python,python,float_dealloc
212655386.0,143250,python,python,float_dealloc
209944663.0,143381,python,libm.so.6,pow@@GLIBC_2.29
202950248.0,143461,python,libm.so.6,pow@@GLIBC_2.29
199485747.0,143381,python,python,float_dealloc
196715952.0,143322,python,python,float_dealloc
195744574.0,143250,python,python,_Py_Dealloc
190180951.0,143585,python,python,float_dealloc
189944457.0,143381,python,python,_Py_Dealloc
186045320.0,143322,python,python,_Py_Dealloc
180814687.0,143520,python,python,_Py_Dealloc
177048142.0,143585,python,python,_Py_Dealloc
174861775.0,143739,python,python,float_dealloc
168828215.0,143739,python,python,_Py_Dealloc
163644901.0,143461,python,python,_Py_Dealloc
124713915.0,143250,python,python,_Py_NewReference
120707336.0,143322,python,python,_Py_NewReference
119922379.0,143585,python,python,_Py_NewReference
117764822.0,143381,python,python,_Py_NewReference
117738849.0,143461,python,python,_Py_NewReference
116699935.0,143739,python,python,_Py_NewReference
113974416.0,143520,python,python,_Py_NewReference
104280333.0,143585,python,python,float_pow
101354998.0,143250,python,python,float_pow
100312829.0,143381,python,python,float_pow
99081385.0,143322,python,python,float_pow
95409974.0,143520,python,python,float_pow
93124209.0,143739,python,python,float_pow
89244497.0,143461,python,python,float_pow
61619964.0,143322,python,python,_PyFloat_ExactDealloc
54133987.0,143585,python,python,_PyFloat_ExactDealloc
51644703.0,143461,python,python,_PyFloat_ExactDealloc
48424480.0,143250,python,python,_PyFloat_ExactDealloc
48138822.0,143520,python,python,_PyFloat_ExactDealloc
44405565.0,143739,python,python,_PyFloat_ExactDealloc
43721106.0,143381,python,python,_PyFloat_ExactDealloc
41243724.0,143520,python,python,PyFloat_FromDouble
37782681.0,143322,python,python,PyFloat_FromDouble
37502784.0,143381,python,python,PyFloat_FromDouble
33460877.0,143461,python,python,PyFloat_FromDouble
32811612.0,143739,python,python,PyFloat_FromDouble
26081096.0,143322,python,python,float_dealloc
24345367.0,143520,python,libm.so.6,pow@@GLIBC_2.29
24095836.0,143381,python,libm.so.6,pow@@GLIBC_2.29
23844561.0,143520,python,python,float_dealloc
23347368.0,143461,python,python,float_dealloc
22817748.0,143381,python,python,float_dealloc
22363045.0,143381,python,python,_PyNumber_PowerNoMod
22118871.0,143739,python,python,float_dealloc
21620336.0,143322,python,python,_PyNumber_PowerNoMod
21347998.0,143585,python,python,_PyNumber_PowerNoMod
21195322.0,143322,python,libm.so.6,pow@@GLIBC_2.29
20865042.0,143461,python,libm.so.6,pow@@GLIBC_2.29
20370530.0,143739,python,python,_PyNumber_PowerNoMod
20332042.0,143520,python,[JIT],0x0000e0d87ea46d78
20123348.0,143381,python,python,_Py_Dealloc
19628454.0,143520,python,python,_PyNumber_PowerNoMod
18134829.0,143322,python,python,_Py_Dealloc
17454822.0,143461,python,[JIT],0x0000f56dbc124130
17384340.0,143461,python,python,_PyNumber_PowerNoMod
16894354.0,143739,python,python,_Py_Dealloc
16894147.0,143381,python,[JIT],0x0000f6b5f4d76b98
16893893.0,143520,python,python,_Py_Dealloc
16643369.0,143322,python,[JIT],0x0000eb392704d660
15404717.0,143520,python,[JIT],0x0000e0d87ea4739c
15382636.0,143520,python,[JIT],0x0000e0d87ea47ec4
15367315.0,143250,python,python,_PyNumber_PowerNoMod
15151930.0,143322,python,python,_Py_NewReference
14824258.0,143461,python,python,_Py_Dealloc
14659277.0,143739,python,libm.so.6,pow@@GLIBC_2.29
14652886.0,143585,python,[JIT],0x0000fd548817d660
13661504.0,143250,python,[JIT],0x0000e03f9d362c80
13167753.0,143461,python,[JIT],0x0000f56dbc124924
13163925.0,143585,python,[JIT],0x0000fd548817e188
12925935.0,143461,python,[JIT],0x0000f56dbc12403c
12923800.0,143739,python,python,_Py_NewReference
12919830.0,143381,python,[JIT],0x0000f6b5f4d769a4
12518520.0,143520,python,python,_PyEval_EvalFrameDefault
12421800.0,143381,python,[JIT],0x0000f6b5f4d7739c
12174530.0,143520,python,[JIT],0x0000e0d87ea49378
12173310.0,143250,python,[JIT],0x0000e03f9d365378
12172782.0,143381,python,python,_Py_NewReference
12168738.0,143585,python,[JIT],0x0000fd548817f378
12168365.0,143585,python,[JIT],0x0000fd548817cc80
11926753.0,143520,python,[JIT],0x0000e0d87ea46b98
11821505.0,143250,python,python,_PyEval_EvalFrameDefault
11779365.0,143739,python,[JIT],0x0000e4d7c1bec378
11478539.0,143461,python,[JIT],0x0000f56dbc123e2c
11428437.0,143322,python,[JIT],0x0000eb392704e188
11178826.0,143520,python,python,float_pow
10932219.0,143461,python,python,float_pow
10924712.0,143520,python,python,_Py_NewReference
10845221.0,143739,python,python,_PyEval_EvalFrameDefault
10683229.0,143322,python,[JIT],0x0000eb392704f378
10363769.0,143322,python,python,_PyEval_EvalFrameDefault
10179525.0,143461,python,python,_Py_NewReference
9688031.0,143381,python,python,float_pow
9669882.0,143381,python,python,_PyEval_EvalFrameDefault
9438702.0,143322,python,[JIT],0x0000eb392704cc80
9437928.0,143322,python,python,float_pow
9358023.0,143461,python,python,_PyEval_EvalFrameDefault
9192787.0,143739,python,python,float_pow
8447533.0,143381,python,[JIT],0x0000f6b5f4d79378
8444635.0,143322,python,[JIT],0x0000eb392704d03c
8198844.0,143461,python,[JIT],0x0000f56dbc123c80
7950491.0,143461,python,[JIT],0x0000f56dbc126378
7945174.0,143585,python,[JIT],0x0000fd548817c0d8
7708426.0,143250,python,[JIT],0x0000e03f9d362b98
7680561.0,143739,python,[JIT],0x0000e4d7c1be9c80
7453586.0,143250,python,[JIT],0x0000e03f9d362d78
7453070.0,143461,python,[JIT],0x0000f56dbc124290
7453000.0,143520,python,[JIT],0x0000e0d87ea46c80
7451486.0,143461,python,[JIT],0x0000f56dbc1239a4
7451158.0,143585,python,[JIT],0x0000fd548817cb98
7205731.0,143381,python,[JIT],0x0000f6b5f4d76c24
6953276.0,143381,python,[JIT],0x0000f6b5f4d76d78
6951934.0,143461,python,[JIT],0x0000f56dbc12439c
6946003.0,143520,python,[JIT],0x0000e0d87ea469a4
