self,pid,command,shared_obj,symbol
66115100.0,874493,python,python,_PyObject_Malloc
63809719.0,874493,python,python,_PyEval_EvalFrameDefault
56360157.0,874612,python,python,_PyObject_Malloc
55123548.0,874493,python,[kernel.kallsyms],__d_lookup_rcu
53141076.0,874707,python,python,_PyObject_Malloc
52086454.0,874545,python,python,_PyObject_Malloc
51813080.0,874707,python,python,_PyEval_EvalFrameDefault
50652453.0,874676,python,python,_PyObject_Malloc
50128545.0,874581,python,python,_PyObject_Malloc
49617410.0,874676,python,python,_PyEval_EvalFrameDefault
48615696.0,874581,python,python,_PyEval_EvalFrameDefault
48172621.0,874707,python,[kernel.kallsyms],__d_lookup_rcu
47422663.0,874739,python,python,_PyEval_EvalFrameDefault
47310308.0,874739,python,python,_PyObject_Malloc
45898908.0,874545,python,[kernel.kallsyms],__d_lookup_rcu
44453358.0,874612,python,python,_PyEval_EvalFrameDefault
44446798.0,874707,python,python,_PyObject_Free
44202143.0,874676,python,[kernel.kallsyms],__d_lookup_rcu
43976067.0,874493,python,python,_PyObject_Free
43933322.0,874739,python,python,_PyObject_Free
43414987.0,874676,python,python,_PyObject_Free
42977184.0,874545,python,python,_PyEval_EvalFrameDefault
42934842.0,874739,python,[kernel.kallsyms],__d_lookup_rcu
42663228.0,874581,python,python,_PyObject_Free
42468139.0,874612,python,python,_PyObject_Free
39225060.0,874612,python,[kernel.kallsyms],__d_lookup_rcu
38998264.0,874545,python,python,_PyObject_Free
38726639.0,874581,python,[kernel.kallsyms],__d_lookup_rcu
35762802.0,874707,python,[kernel.kallsyms],el0_svc
33770305.0,874493,python,[kernel.kallsyms],el0_svc
33764032.0,874493,python,python,_Py_Dealloc
33282344.0,874612,python,[kernel.kallsyms],el0_svc
31796276.0,874545,python,[kernel.kallsyms],el0_svc
31359651.0,874493,python,[kernel.kallsyms],__update_cpu_freelist_fast
30653414.0,874676,python,[kernel.kallsyms],__update_cpu_freelist_fast
30633545.0,874707,python,[kernel.kallsyms],__update_cpu_freelist_fast
29550948.0,874676,python,python,_PyTypeCache_Lookup
29549101.0,874739,python,[kernel.kallsyms],el0_svc
29312369.0,874545,python,[kernel.kallsyms],__update_cpu_freelist_fast
29308892.0,874545,python,python,_Py_Dealloc
29299137.0,874581,python,[kernel.kallsyms],__update_cpu_freelist_fast
29063153.0,874676,python,[kernel.kallsyms],el0_svc
29054151.0,874581,python,[kernel.kallsyms],el0_svc
29051191.0,874676,python,python,_Py_Dealloc
29043189.0,874612,python,[kernel.kallsyms],__update_cpu_freelist_fast
28272471.0,874739,python,python,_Py_Dealloc
27080728.0,874707,python,python,_Py_Dealloc
27072078.0,874612,python,python,_Py_Dealloc
27048592.0,874739,python,python,_PyTypeCache_Lookup
25819936.0,874739,python,[kernel.kallsyms],__update_cpu_freelist_fast
25581087.0,874581,python,python,_Py_Dealloc
25561673.0,874493,python,python,_PyFrame_ClearExceptCode
25317505.0,874493,python,libc.so.6,__GI___fstatat64
