self,pid,command,shared_obj,symbol
73937292.0,166722,python,python,_PyEval_EvalFrameDefault
52039575.0,166722,python,python,_PyObject_Malloc
50711381.0,166917,python,python,_PyEval_EvalFrameDefault
48814496.0,166847,python,python,_PyEval_EvalFrameDefault
48360739.0,166996,python,python,_PyObject_Malloc
48057852.0,166996,python,python,_PyEval_EvalFrameDefault
47921522.0,166783,python,python,_PyEval_EvalFrameDefault
47902919.0,166880,python,python,_PyEval_EvalFrameDefault
45736479.0,166745,python,python,_PyEval_EvalFrameDefault
43643304.0,166917,python,python,_PyObject_Malloc
41715436.0,166783,python,python,_PyObject_Malloc
40701420.0,166880,python,python,_PyObject_Malloc
39421573.0,166847,python,python,_PyObject_Malloc
39151278.0,166745,python,python,_PyObject_Malloc
38188696.0,166722,python,python,_PyFrame_ClearExceptCode
37161840.0,166722,python,python,_PyObject_Free
36681637.0,166722,python,python,_Py_dict_lookup
35218096.0,166880,python,python,_PyFrame_ClearExceptCode
34927448.0,166847,python,python,_PyObject_Free
32758595.0,166847,python,python,_PyFrame_ClearExceptCode
30264474.0,166996,python,python,_PyFrame_ClearExceptCode
30250682.0,166917,python,python,_PyFrame_ClearExceptCode
29777285.0,166745,python,python,_PyObject_Free
29067943.0,166996,python,python,_Py_dict_lookup
28559482.0,166783,python,python,_PyFrame_ClearExceptCode
28468177.0,166917,python,python,_PyObject_Free
28292641.0,166880,python,python,_PyObject_Free
27746835.0,166745,python,python,_PyFrame_ClearExceptCode
27013693.0,166783,python,python,_Py_dict_lookup
26952825.0,166917,python,python,_Py_dict_lookup
26795172.0,166847,python,python,_Py_dict_lookup
26608796.0,166847,python,python,_PyEval_EvalFrameDefault
26353084.0,166783,python,python,PySys_Audit
26060670.0,166783,python,python,_PyObject_Free
24766444.0,166996,python,python,_PyObject_Free
24274324.0,166745,python,python,_Py_dict_lookup
24096533.0,166996,python,python,_PyEval_EvalFrameDefault
23782758.0,166745,python,python,_PyEval_EvalFrameDefault
23600325.0,166783,python,python,initialize_locals
23565505.0,166880,python,python,_Py_dict_lookup
23079235.0,166722,python,python,_PyEval_FrameClearAndPop
22541756.0,166880,python,python,_PyEval_EvalFrameDefault
22515573.0,166847,python,python,PySys_Audit
22352192.0,166917,python,python,_PyEval_EvalFrameDefault
22060768.0,166996,python,python,initialize_locals
21511652.0,166847,python,python,initialize_locals
21334472.0,166996,python,python,tuple_dealloc
20578875.0,166745,python,python,tuple_dealloc
20561614.0,166917,python,python,_PyEval_FrameClearAndPop
20351819.0,166722,python,python,PySys_Audit
20314947.0,166880,python,python,PySys_Audit
20118184.0,166783,python,python,_PyEval_FrameClearAndPop
20047260.0,166996,python,python,PySys_Audit
19580989.0,166917,python,python,initialize_locals
19578757.0,166722,python,python,initialize_locals
19542816.0,166917,python,python,PySys_Audit
19105648.0,166745,python,python,_PyEval_FrameClearAndPop
19098675.0,166722,python,python,tuple_dealloc
19075938.0,166880,python,python,tuple_dealloc
18585266.0,166745,python,python,initialize_locals
18331044.0,166745,python,python,PySys_Audit
18302200.0,166917,python,python,tuple_dealloc
18080003.0,166996,python,python,_PyEval_FrameClearAndPop
17859184.0,166783,python,python,tuple_dealloc
17851655.0,166880,python,python,initialize_locals
17599309.0,166847,python,python,_PyEval_FrameClearAndPop
16127984.0,166722,python,python,PyBuffer_FillInfo
15348228.0,166847,python,python,tuple_dealloc
15117504.0,166917,python,python,_PyEvalFramePushAndInit
15116597.0,166996,python,python,PyBuffer_FillInfo
14996976.0,166880,python,python,_PyEval_FrameClearAndPop
14887638.0,166722,python,python,PyObject_GetBuffer
14872889.0,166783,python,python,PyBuffer_FillInfo
14764827.0,166996,python,python,_Py_Dealloc
14627521.0,166880,python,python,_Py_Dealloc
13908541.0,166783,python,python,_PyTuple_Resize
13832752.0,166722,python,python,_Py_Dealloc
13666412.0,166847,python,python,dict_get
13652425.0,166880,python,python,_PyTuple_Resize
13616982.0,166917,python,python,_PyCallMethodDescriptorFast_StackRef
13402571.0,166917,python,python,_Py_Dealloc
13385057.0,166783,python,python,_PyEvalFramePushAndInit
13383060.0,166745,python,python,PyBuffer_FillInfo
12901957.0,166722,python,python,PyBuffer_Release
12895758.0,166722,python,python,_PyCallMethodDescriptorFast_StackRef
12656746.0,166722,python,_struct.cpython-316-aarch64-linux-gnu.so,pack
12656383.0,166880,python,python,PyBuffer_FillInfo
12655294.0,166847,python,python,PyBuffer_FillInfo
12396613.0,166847,python,python,_PyTuple_Resize
12384440.0,166722,python,python,dict_get
12369025.0,166745,python,python,_PyTuple_Resize
12161281.0,166917,python,python,PyBuffer_FillInfo
12160067.0,166722,python,python,_PyBytes_Concat
12145469.0,166745,python,python,_PyEvalFramePushAndInit
12138707.0,166847,python,python,_Py_Dealloc
11917050.0,166722,python,python,_PyEvalFramePushAndInit
11884371.0,166745,python,python,PyObject_GetBuffer
11691270.0,166996,python,python,_PyCallMethodDescriptorFast_StackRef
11660619.0,166783,python,python,_PyCallMethodDescriptorFast_StackRef
11429302.0,166996,python,python,_PyEvalFramePushAndInit
11388429.0,166917,python,python,PyObject_GetBuffer
11185744.0,166783,python,_struct.cpython-316-aarch64-linux-gnu.so,pack
11166638.0,166917,python,_struct.cpython-316-aarch64-linux-gnu.so,pack
11149120.0,166847,python,python,PyObject_GetBuffer
10924457.0,166880,python,python,_PyCallMethodDescriptorFast_StackRef
10923634.0,166880,python,python,_PyEvalFramePushAndInit
10921083.0,166722,python,python,_Py_BuiltinCallFast_StackRef
10910439.0,166996,python,python,PyObject_GetBuffer
10671136.0,166745,python,python,_Py_BuiltinCallFast_StackRef
10666107.0,166722,python,python,_PyTuple_Resize
10660561.0,166847,python,python,write_bytes_lock_held
10656376.0,166783,python,python,_Py_BuiltinCallFast_StackRef
10629781.0,166996,python,python,PyBuffer_Release
10427598.0,166745,python,python,_PyCallMethodDescriptorFast_StackRef
10422311.0,166917,python,python,PyUnicode_AsEncodedString
10415812.0,166880,python,libc.so.6,__memcpy_generic
10411949.0,166847,python,python,_Py_BuiltinCallFast_StackRef
10407562.0,166745,python,python,dict_get
