self,pid,command,shared_obj,symbol
3172645788.0,167700,python,python,x_divrem
3153832304.0,167449,python,python,x_divrem
3147480554.0,167589,python,python,x_divrem
3142201208.0,167230,python,python,x_divrem
3140241893.0,167336,python,python,x_divrem
3108721410.0,167800,python,python,x_divrem
2069708806.0,167230,python,python,k_mul
2062342139.0,167800,python,python,k_mul
2061133560.0,167336,python,python,k_mul
2050856167.0,167589,python,python,k_mul
2038967679.0,167449,python,python,k_mul
2035257827.0,167700,python,python,k_mul
1224518000.0,167589,python,python,x_add
1209286488.0,167230,python,python,x_add
1208928626.0,167800,python,python,x_add
1205877593.0,167336,python,python,x_add
1201153675.0,167700,python,python,x_add
1196545961.0,167449,python,python,x_add
442555215.0,167700,python,python,x_sub
435782579.0,167449,python,python,x_sub
430976058.0,167800,python,python,x_sub
415686543.0,167336,python,python,x_sub
411347494.0,167589,python,python,x_sub
404232522.0,167230,python,python,x_sub
323407955.0,167449,python,python,x_divrem
323327457.0,167589,python,python,x_divrem
320623599.0,167800,python,python,x_divrem
320579401.0,167700,python,python,x_divrem
316038937.0,167230,python,python,x_divrem
303507155.0,167336,python,python,x_divrem
211553357.0,167230,python,python,k_mul
204508101.0,167336,python,python,k_mul
202616628.0,167589,python,python,k_mul
199722392.0,167449,python,python,k_mul
198566970.0,167800,python,python,k_mul
197028449.0,167700,python,python,k_mul
138158928.0,167336,python,python,x_add
125505124.0,167800,python,python,x_add
122226689.0,167589,python,python,x_add
120330059.0,167700,python,python,x_add
115572654.0,167449,python,python,x_add
113026316.0,167230,python,python,x_add
98314363.0,167700,python,libc.so.6,_int_malloc
96310368.0,167800,python,libc.so.6,_int_malloc
95083404.0,167336,python,libc.so.6,_int_malloc
94834399.0,167449,python,libc.so.6,_int_malloc
92077620.0,167589,python,libc.so.6,_int_malloc
89252833.0,167230,python,libc.so.6,_int_malloc
57454752.0,167336,python,libc.so.6,__memset_zva64
56333165.0,167449,python,libc.so.6,__memset_zva64
52173931.0,167800,python,libc.so.6,__memset_zva64
52037822.0,167230,python,libc.so.6,__memset_zva64
45601893.0,167700,python,python,x_sub
44653829.0,167589,python,libc.so.6,__memset_zva64
44369135.0,167230,python,python,x_sub
43937725.0,167700,python,libc.so.6,__memset_zva64
42641674.0,167800,python,python,x_sub
42330586.0,167336,python,python,x_sub
41429005.0,167449,python,python,x_sub
38831881.0,167589,python,python,x_sub
25543594.0,167800,python,python,_PyObject_Free
25330228.0,167589,python,libc.so.6,malloc
25309167.0,167230,python,libc.so.6,malloc
25104638.0,167449,python,libc.so.6,malloc
24548510.0,167800,python,libc.so.6,malloc
23540525.0,167589,python,python,_PyObject_Free
23416599.0,167336,python,python,_PyObject_Free
23330474.0,167336,python,libc.so.6,malloc
22625570.0,167449,python,python,_PyObject_Free
22036210.0,167589,python,python,_PyEval_EvalFrameDefault
19588675.0,167700,python,python,_PyEval_EvalFrameDefault
19377726.0,167336,python,libc.so.6,_int_free_merge_chunk
19355175.0,167230,python,python,_PyObject_Free
18829312.0,167700,python,python,_PyObject_Free
18622792.0,167700,python,libc.so.6,_int_free_merge_chunk
18622703.0,167230,python,libc.so.6,_int_free
18368223.0,167800,python,python,_PyObject_Malloc
18346536.0,167589,python,libc.so.6,cfree@GLIBC_2.17
17994128.0,167449,python,python,_PyObject_Malloc
17874235.0,167700,python,libc.so.6,cfree@GLIBC_2.17
17865230.0,167700,python,libc.so.6,malloc
17836767.0,167336,python,python,_PyEval_EvalFrameDefault
17700939.0,167800,python,python,_PyEval_EvalFrameDefault
17636395.0,167800,python,libc.so.6,_int_free_merge_chunk
17106574.0,167230,python,libc.so.6,unlink_chunk.isra.0
17088948.0,167589,python,python,_PyObject_Malloc
16887799.0,167336,python,python,long_alloc
16885790.0,167449,python,libc.so.6,_int_free
16877649.0,167336,python,libc.so.6,_int_free
16833649.0,167700,python,python,_PyObject_Malloc
16656102.0,167800,python,libc.so.6,_int_free
16641034.0,167230,python,libc.so.6,_int_free_merge_chunk
16623883.0,167800,python,libc.so.6,cfree@GLIBC_2.17
16610649.0,167449,python,python,_PyEval_EvalFrameDefault
16389826.0,167230,python,python,_PyEval_EvalFrameDefault
16363867.0,167800,python,python,long_alloc
16137055.0,167589,python,libc.so.6,_int_free_create_chunk
16103249.0,167589,python,libc.so.6,_int_free
16082579.0,167589,python,python,long_alloc
15877348.0,167230,python,libc.so.6,cfree@GLIBC_2.17
15837789.0,167700,python,python,long_alloc
15381853.0,167800,python,python,_Py_Dealloc
15148371.0,167589,python,libc.so.6,_int_free_merge_chunk
14896280.0,167230,python,libc.so.6,_int_free_create_chunk
14874706.0,167230,python,python,long_alloc
14841412.0,167700,python,libc.so.6,_int_free
14741148.0,167230,python,python,_Py_Dealloc
14656848.0,167800,python,libc.so.6,_int_free_create_chunk
14632858.0,167336,python,python,_Py_Dealloc
14622616.0,167336,python,libc.so.6,unlink_chunk.isra.0
14402665.0,167449,python,libc.so.6,unlink_chunk.isra.0
14401734.0,167449,python,libc.so.6,_int_free_merge_chunk
14377030.0,167700,python,libc.so.6,_int_free_create_chunk
14362514.0,167589,python,libc.so.6,unlink_chunk.isra.0
14158607.0,167800,python,libc.so.6,unlink_chunk.isra.0
14156140.0,167449,python,libc.so.6,cfree@GLIBC_2.17
13913248.0,167336,python,libc.so.6,_int_free_create_chunk
13797475.0,167449,python,python,_Py_Dealloc
13406444.0,167700,python,libc.so.6,unlink_chunk.isra.0
13171627.0,167449,python,python,long_alloc
12916700.0,167336,python,libc.so.6,cfree@GLIBC_2.17
12381535.0,167230,python,python,_PyObject_Malloc
12144387.0,167336,python,python,_PyObject_Malloc
12136797.0,167230,python,python,PyNumber_Multiply
12118242.0,167700,python,python,_Py_Dealloc
11933258.0,167589,python,python,_Py_Dealloc
11657112.0,167700,python,python,long_dealloc
