self,pid,command,shared_obj,symbol
2813114963.0,172370,python,python,_PyObject_Malloc
2699090615.0,173029,python,python,_PyObject_Malloc
2676864592.0,173713,python,python,_PyObject_Malloc
2535983606.0,175655,python,python,_PyObject_Malloc
2523076054.0,172370,python,python,_PyFrame_ClearExceptCode
2457913688.0,172370,python,python,_Py_BuiltinCallFast_StackRef
2441750850.0,176301,python,python,_PyObject_Malloc
2438694915.0,174986,python,python,_PyObject_Malloc
2348470784.0,175655,python,python,_PyFrame_ClearExceptCode
2336989330.0,173029,python,python,_PyFrame_ClearExceptCode
2298381911.0,176301,python,python,_PyFrame_ClearExceptCode
2289419797.0,174986,python,python,_PyFrame_ClearExceptCode
2232083703.0,173713,python,python,_PyFrame_ClearExceptCode
2145108879.0,173713,python,python,_Py_BuiltinCallFast_StackRef
2135781716.0,173029,python,python,_Py_BuiltinCallFast_StackRef
2130388048.0,175655,python,python,_Py_BuiltinCallFast_StackRef
2126268003.0,174986,python,python,_PyTypeCache_Lookup
2117790934.0,174986,python,python,_Py_BuiltinCallFast_StackRef
2112065895.0,176301,python,python,_Py_BuiltinCallFast_StackRef
2067135228.0,173029,python,python,_PyTypeCache_Lookup
2016865821.0,175655,python,python,_PyTypeCache_Lookup
2005954112.0,172370,python,python,_PyTypeCache_Lookup
1877514204.0,172370,python,python,_PyObject_Free
1827564018.0,173713,python,python,_PyTypeCache_Lookup
1805679483.0,176301,python,python,_PyTypeCache_Lookup
1701974060.0,174986,python,python,_PyObject_Free
1672983807.0,173029,python,python,_PyObject_Free
1664691291.0,176301,python,python,_PyObject_Free
1629529974.0,173713,python,python,_PyObject_Free
1593346581.0,175655,python,python,_PyObject_Free
1398282036.0,172007,python,python,_PyObject_Malloc
1389216372.0,169311,python,python,_PyObject_Malloc
1386037174.0,169720,python,python,_PyObject_Malloc
1380219851.0,168000,python,python,_PyObject_Malloc
1358170902.0,168614,python,python,_PyObject_Malloc
1346469642.0,168972,python,python,_PyObject_Malloc
1342246187.0,168293,python,python,_PyObject_Malloc
1251583522.0,168000,python,python,_PyFrame_ClearExceptCode
1238307175.0,172370,python,python,_PyEval_EvalFrameDefault
1181282836.0,172370,python,python,_PyUnicode_JoinArray.part.0
1152595574.0,173029,python,python,_PyEval_EvalFrameDefault
1141565401.0,169720,python,python,_PyFrame_ClearExceptCode
1138999970.0,172007,python,python,_PyFrame_ClearExceptCode
1134656379.0,174986,python,python,_PyUnicode_JoinArray.part.0
1130533178.0,168000,python,python,_Py_BuiltinCallFast_StackRef
1116256598.0,168972,python,python,_PyFrame_ClearExceptCode
1107760309.0,168614,python,python,_PyFrame_ClearExceptCode
1104755476.0,168293,python,python,_PyFrame_ClearExceptCode
1091154091.0,173713,python,python,_PyUnicode_JoinArray.part.0
1081722303.0,173713,python,python,_PyEval_EvalFrameDefault
1081205322.0,173029,python,python,_PyUnicode_JoinArray.part.0
1079805317.0,172370,python,python,PyUnicode_Format
1078967844.0,168293,python,python,_Py_BuiltinCallFast_StackRef
1073700363.0,169311,python,python,_PyFrame_ClearExceptCode
1070650165.0,174986,python,python,_PyEval_EvalFrameDefault
1064522960.0,172370,python,python,_Py_type_getattro_stackref
1058703672.0,172370,python,python,long_to_decimal_string_internal
1048390110.0,176301,python,python,_PyEval_EvalFrameDefault
1047394718.0,176301,python,python,_PyUnicode_JoinArray.part.0
1046346944.0,168614,python,python,_Py_BuiltinCallFast_StackRef
1045756331.0,173713,python,python,PyUnicode_Format
1037387274.0,169720,python,python,_Py_BuiltinCallFast_StackRef
1033939578.0,168972,python,python,_Py_BuiltinCallFast_StackRef
1019079544.0,175655,python,python,_PyUnicode_JoinArray.part.0
1017208543.0,172370,python,python,_Py_Dealloc
1015380826.0,176301,python,python,long_to_decimal_string_internal
1015373709.0,176301,python,python,PyUnicode_Format
1014602954.0,173029,python,python,PyUnicode_Format
1014062324.0,175655,python,python,_PyEval_EvalFrameDefault
1010480437.0,172007,python,python,_Py_BuiltinCallFast_StackRef
1007256694.0,175655,python,python,_Py_type_getattro_stackref
1000159173.0,175655,python,python,PyUnicode_Format
999947116.0,169311,python,python,_Py_BuiltinCallFast_StackRef
979969357.0,169311,python,python,_PyTypeCache_Lookup
