self,pid,command,shared_obj,symbol
6226289341.0,177126,python,python,sre_ucs1_match
5752456156.0,181450,python,python,sre_ucs1_match
5727905586.0,177593,python,python,sre_ucs1_match
5717394083.0,179861,python,python,sre_ucs1_match
5698989628.0,181911,python,python,sre_ucs1_match
5674778812.0,180555,python,python,sre_ucs1_match
3365138874.0,177126,python,python,_PyEval_EvalFrameDefault
2858709826.0,181911,python,python,_PyEval_EvalFrameDefault
2829984032.0,180555,python,python,_PyEval_EvalFrameDefault
2817884377.0,179861,python,python,_PyEval_EvalFrameDefault
2803544467.0,177593,python,python,_PyEval_EvalFrameDefault
2786564916.0,181450,python,python,_PyEval_EvalFrameDefault
2052425317.0,177593,python,python,gc_collect_main
2009653985.0,180555,python,python,gc_collect_main
2006180152.0,181450,python,python,gc_collect_main
1975707599.0,177126,python,python,gc_collect_main
1958734504.0,181911,python,python,gc_collect_main
1954540675.0,179861,python,python,gc_collect_main
1078798983.0,177126,python,python,_PyObject_Malloc
1028260897.0,177126,python,python,_Py_dict_lookup
1005534674.0,181450,python,python,_PyObject_Malloc
1003589509.0,179861,python,python,_PyObject_Malloc
994881143.0,180555,python,python,_PyObject_Malloc
982939195.0,177593,python,python,_PyObject_Malloc
978866453.0,181450,python,python,_Py_dict_lookup
953879788.0,181911,python,python,_Py_dict_lookup
948315559.0,180555,python,python,_Py_dict_lookup
932310028.0,181911,python,python,_PyObject_Malloc
921502567.0,179861,python,python,_Py_dict_lookup
884707072.0,177126,python,python,_PyTypeCache_Lookup
877476024.0,181450,python,python,_PyTypeCache_Lookup
846359796.0,181911,python,python,_PyTypeCache_Lookup
814909238.0,177593,python,python,_Py_dict_lookup
813731221.0,179861,python,python,_PyTypeCache_Lookup
807538554.0,180555,python,python,_PyTypeCache_Lookup
800701473.0,177593,python,python,_PyTypeCache_Lookup
723216395.0,177126,python,python,unicodekeys_lookup_unicode
722557579.0,181911,python,python,_PyObject_Free
717250407.0,177593,python,python,_PyObject_Free
716981719.0,181450,python,python,_PyObject_Free
713625614.0,177126,python,python,_PyObject_Free
676096752.0,180555,python,python,_PyObject_Free
667326105.0,179861,python,python,_PyObject_Free
633529627.0,181911,python,python,unicodekeys_lookup_unicode
631349963.0,180555,python,python,unicodekeys_lookup_unicode
631153060.0,181450,python,python,unicodekeys_lookup_unicode
629863761.0,177593,python,python,unicodekeys_lookup_unicode
614123416.0,177126,python,python,_PyFrame_ClearExceptCode
609815858.0,177593,python,python,_PyFrame_ClearExceptCode
606280791.0,181450,python,python,_PyEval_EvalFrameDefault
600338158.0,179861,python,python,unicodekeys_lookup_unicode
593034621.0,180555,python,python,_PyEval_EvalFrameDefault
588044161.0,177593,python,python,_PyEval_EvalFrameDefault
587088315.0,181911,python,python,_PyEval_EvalFrameDefault
585321577.0,179861,python,python,_PyEval_EvalFrameDefault
584645554.0,180971,python,python,sre_ucs1_match
581738104.0,177593,python,python,sre_ucs1_match
580563861.0,180971,python,python,_PyEval_EvalFrameDefault
574483174.0,180555,python,python,_PyFrame_ClearExceptCode
574389645.0,181911,python,python,_PyFrame_ClearExceptCode
568663268.0,180555,python,python,sre_ucs1_match
566175882.0,179861,python,python,sre_ucs1_match
564910586.0,181911,python,python,sre_ucs1_match
558665291.0,179861,python,python,_PyFrame_ClearExceptCode
555369974.0,181450,python,python,sre_ucs1_match
543386855.0,181450,python,python,_PyFrame_ClearExceptCode
537798386.0,177126,python,python,_PyDict_Subscript
532716723.0,177126,python,python,_Py_Dealloc
530638974.0,177126,python,python,visit_decref
512835324.0,180555,python,python,_PyDict_Subscript
508390432.0,177593,python,python,visit_decref
500532709.0,180555,python,python,visit_decref
498942819.0,181911,python,python,visit_decref
496639305.0,179861,python,python,_PyDict_Subscript
491820159.0,177126,python,python,list_ass_slice_lock_held
491421198.0,181450,python,python,_PyDict_Subscript
486331958.0,181450,python,python,visit_decref
485178457.0,179861,python,python,visit_decref
484826405.0,181911,python,python,_PyDict_Subscript
479839348.0,179861,python,python,_Py_Dealloc
479757996.0,177593,python,python,_PyDict_Subscript
473819566.0,177593,python,python,_Py_Dealloc
464250516.0,181450,python,python,_Py_Dealloc
462906586.0,177126,python,libc.so.6,_int_malloc
462282443.0,180555,python,python,_Py_Dealloc
444458793.0,177593,python,python,list_ass_slice_lock_held
443215080.0,181911,python,python,_Py_Dealloc
442254355.0,180555,python,python,list_ass_slice_lock_held
440670877.0,177126,python,python,initialize_locals
431316125.0,181450,python,python,list_ass_slice_lock_held
428332491.0,180555,python,libc.so.6,_int_malloc
427904833.0,179861,python,python,initialize_locals
418378672.0,179861,python,libc.so.6,_int_malloc
412921614.0,181911,python,libc.so.6,_int_malloc
411179162.0,181450,python,libc.so.6,_int_malloc
410110062.0,177126,python,python,_PyObject_GenericGetAttrWithDict
409340608.0,180555,python,python,initialize_locals
404487663.0,177126,python,python,_PyJIT_Entry
404483286.0,177593,python,libc.so.6,_int_malloc
402784267.0,181911,python,python,initialize_locals
402071780.0,177593,python,python,initialize_locals
396283533.0,177126,python,python,_Py_VectorCall_StackRefSteal
393265346.0,179861,python,python,list_ass_slice_lock_held
384568907.0,179861,python,python,_PyObject_GenericGetAttrWithDict
384175999.0,181911,python,python,list_ass_slice_lock_held
383909717.0,180555,python,python,_PyJIT_Entry
378063268.0,180555,python,python,subtype_traverse
377690185.0,181450,python,python,initialize_locals
375257796.0,177593,python,python,_PyObject_GenericGetAttrWithDict
373181290.0,179861,python,python,subtype_traverse
372724010.0,177126,python,python,subtype_traverse
371636985.0,177593,python,python,subtype_traverse
370062159.0,181911,python,python,_PyJIT_Entry
368583637.0,179861,python,python,_PyJIT_Entry
368080465.0,181450,python,python,_PyJIT_Entry
365121314.0,180555,python,python,_PyObject_GenericGetAttrWithDict
363592726.0,177593,python,python,_PyJIT_Entry
361759476.0,181911,python,python,_PyObject_GenericGetAttrWithDict
359604796.0,181450,python,python,subtype_traverse
359124665.0,181911,python,python,subtype_traverse
353478214.0,181450,python,python,_Py_VectorCall_StackRefSteal
353035861.0,181450,python,python,_PyObject_GenericGetAttrWithDict
347882932.0,180555,python,python,_Py_VectorCall_StackRefSteal
347130028.0,179861,python,python,_Py_VectorCall_StackRefSteal
339043900.0,181911,python,python,_Py_VectorCall_StackRefSteal
331424559.0,177593,python,python,_Py_VectorCall_StackRefSteal
330187050.0,177126,python,python,PyObject_GC_UnTrack
330049422.0,177126,python,python,visit_reachable
325981900.0,177126,python,python,PyObject_ClearManagedDict
325017986.0,180555,python,python,PyObject_GC_UnTrack
322948514.0,177126,python,python,_PyEval_FrameClearAndPop
315644176.0,177126,python,python,PySlice_New
312498027.0,177126,python,python,_PyEvalFramePushAndInit
308972294.0,180555,python,python,PyObject_ClearManagedDict
308918345.0,177593,python,python,PyObject_GC_UnTrack
307227523.0,179861,python,python,PyObject_GC_UnTrack
305488253.0,181450,python,python,visit_reachable
302499037.0,177126,python,python,dict_get
301891692.0,177593,python,python,visit_reachable
297967593.0,181911,python,python,visit_reachable
297856608.0,180555,python,python,visit_reachable
297653551.0,177126,python,python,_sre_SRE_Pattern_prefixmatch
297567925.0,177593,python,python,_PyEval_FrameClearAndPop
296150222.0,179861,python,python,visit_reachable
295662321.0,179861,python,python,_PyEval_FrameClearAndPop
292065771.0,181450,python,python,PyObject_GC_UnTrack
290960134.0,180555,python,python,_PyEval_FrameClearAndPop
288696892.0,181450,python,python,PyObject_ClearManagedDict
286868149.0,181911,python,python,PyObject_GC_UnTrack
285546981.0,181911,python,python,PyObject_ClearManagedDict
283576516.0,177593,python,python,PyObject_ClearManagedDict
278283369.0,179861,python,python,PyObject_ClearManagedDict
276043749.0,181911,python,python,dict_get
276013316.0,179861,python,python,_PyEvalFramePushAndInit
275875918.0,181450,python,python,_PyEval_FrameClearAndPop
275199210.0,179861,python,python,_sre_SRE_Pattern_prefixmatch
274943554.0,181450,python,python,_PyEvalFramePushAndInit
274912299.0,181911,python,python,_PyEvalFramePushAndInit
273774629.0,179861,python,python,_PyCallMethodDescriptorFast_StackRef
272360768.0,181911,python,python,_PyCallMethodDescriptorFast_StackRef
270792488.0,180555,python,python,_PyCallMethodDescriptorFast_StackRef
269704336.0,177593,python,python,_PyCallMethodDescriptorFast_StackRef
269539563.0,181911,python,python,_PyEval_FrameClearAndPop
269118357.0,181911,python,python,_sre_SRE_Pattern_prefixmatch
268257903.0,177593,python,python,_sre_SRE_Pattern_prefixmatch
266613457.0,177126,python,python,list_ass_subscript
265895980.0,180555,python,python,_PyEvalFramePushAndInit
265211239.0,181450,python,python,_sre_SRE_Pattern_prefixmatch
265040585.0,177126,python,python,PyObject_GetItem
264663399.0,177126,python,python,_PyType_LookupStackRefAndVersion
264538387.0,181450,python,python,_PyCallMethodDescriptorFast_StackRef
261511178.0,181450,python,python,dict_get
259967353.0,180555,python,python,_PyType_LookupStackRefAndVersion
258853070.0,177593,python,python,_PyEvalFramePushAndInit
258172895.0,179861,python,python,dict_get
256582644.0,177126,python,python,_PyCallMethodDescriptorFast_StackRef
256097543.0,181450,python,python,_PyType_LookupStackRefAndVersion
253138975.0,179861,python,python,PyObject_GetItem
251389359.0,177593,python,python,dict_get
251126357.0,180555,python,python,dict_get
250998810.0,179861,python,python,PySlice_New
250577610.0,180555,python,python,_sre_SRE_Pattern_prefixmatch
248263681.0,179861,python,python,_PyType_LookupStackRefAndVersion
247609324.0,181450,python,python,PyObject_GetItem
244953627.0,177593,python,python,PySlice_New
243835973.0,181911,python,python,PyObject_GetItem
243725750.0,179861,python,python,sre_ucs1_count
243634058.0,181911,python,python,_PyType_LookupStackRefAndVersion
243505327.0,180555,python,python,PySlice_New
238230604.0,177593,python,python,list_ass_subscript
236589922.0,177126,python,libc.so.6,malloc
235234689.0,181450,python,libc.so.6,malloc
234551195.0,181450,python,python,list_ass_subscript
232515577.0,181450,python,python,PySlice_New
230230699.0,181911,python,python,PySlice_New
229559215.0,180555,python,python,list_ass_subscript
228813631.0,177593,python,python,_PyType_LookupStackRefAndVersion
228137130.0,180555,python,python,PyObject_GetItem
228035234.0,181911,python,python,list_ass_subscript
227027435.0,181911,python,python,sre_ucs1_count
226132741.0,177593,python,python,sre_ucs1_count
225882552.0,177126,python,python,sre_ucs1_count
225660013.0,179861,python,python,list_ass_subscript
224449018.0,177593,python,python,PyObject_GetItem
224396574.0,177126,python,python,_PyEval_Vector
223394577.0,181911,python,libc.so.6,malloc
221113255.0,177593,python,libc.so.6,malloc
217561170.0,180555,python,python,sre_ucs1_count
215252403.0,177126,python,python,_PyType_AllocNoTrack
214362472.0,180555,python,libc.so.6,malloc
214097442.0,179861,python,python,_PyEval_Vector
213738012.0,179861,python,libc.so.6,malloc
211952299.0,181450,python,python,sre_ucs1_count
208502668.0,177593,python,python,_PyEval_Vector
206895921.0,181911,python,python,_PyEval_Vector
205228870.0,180555,python,python,_PyEval_Vector
203094350.0,177126,python,python,_PyObject_GetAttrStackRef
202676400.0,177126,python,python,subtype_dealloc
200783232.0,177593,python,python,_PyType_AllocNoTrack
200258735.0,181450,python,python,_PyEval_Vector
199539288.0,181911,python,python,subtype_dealloc
199360530.0,177126,python,python,pattern_new_match
194817912.0,180555,python,python,subtype_dealloc
194170228.0,177126,python,python,PyObject_Vectorcall
188858990.0,181450,python,python,pattern_new_match
188260616.0,180555,python,python,pattern_new_match
188247190.0,180555,python,libc.so.6,__memcpy_generic
188175439.0,181911,python,python,PyList_New.constprop.0
187745741.0,179861,python,python,_PyType_AllocNoTrack
185718224.0,181450,python,python,subtype_dealloc
184224070.0,179861,python,python,PyList_New.constprop.0
184199370.0,177593,python,python,pattern_new_match
183573209.0,179861,python,python,subtype_dealloc
183565345.0,177593,python,python,subtype_dealloc
181541298.0,177126,python,libc.so.6,__memcpy_generic
180636944.0,180555,python,python,_PyType_AllocNoTrack
179954787.0,181911,python,python,pattern_new_match
177687864.0,177593,python,libc.so.6,__memcpy_generic
176950908.0,181450,python,libc.so.6,__memcpy_generic
176294196.0,179861,python,python,pattern_new_match
175102888.0,177126,python,python,PyType_IsSubtype
175009185.0,177126,python,python,PyErr_Occurred
174847522.0,177126,python,python,PyList_New.constprop.0
174478834.0,181911,python,libc.so.6,__memcpy_generic
173851105.0,177126,python,python,long_neg_method
173734807.0,179861,python,libc.so.6,__memcpy_generic
172831955.0,179861,python,python,PyObject_Vectorcall
172302096.0,177126,python,python,PySlice_AdjustIndices
171490105.0,181911,python,python,_PyType_AllocNoTrack
170330470.0,179861,python,python,_PyObject_GetAttrStackRef
169066161.0,177593,python,python,long_neg_method
168684440.0,177126,python,python,_PyEval_SliceIndex
168622768.0,181450,python,python,PyType_IsSubtype
168592659.0,181450,python,python,_PyType_AllocNoTrack
168341521.0,177593,python,python,PyType_IsSubtype
168268819.0,177593,python,python,_PyObject_GetAttrStackRef
167344691.0,181450,python,python,PyList_New.constprop.0
166540965.0,181911,python,python,PyObject_Vectorcall
165025704.0,180555,python,python,PyObject_Vectorcall
164857247.0,177126,python,libc.so.6,_int_free
164364599.0,177593,python,python,_PyEval_SliceIndex
163496336.0,180555,python,python,PyErr_Occurred
163050645.0,179861,python,python,PyType_IsSubtype
161777252.0,181911,python,python,_PyObject_GetAttrStackRef
160143017.0,181911,python,python,PyType_IsSubtype
159914365.0,181450,python,python,PyObject_Vectorcall
159372356.0,181450,python,python,long_neg_method
159178365.0,180555,python,python,PyType_IsSubtype
158154982.0,180555,python,python,_PyEval_SliceIndex
157632867.0,181911,python,python,_PyEval_SliceIndex
157224922.0,179861,python,python,_PyEval_SliceIndex
157213418.0,181450,python,python,_PyObject_GetAttrStackRef
157186967.0,177593,python,python,PyList_New.constprop.0
157179526.0,177593,python,python,PyObject_Vectorcall
156718859.0,181450,python,python,PyErr_Occurred
155256002.0,177126,python,python,_PyObject_TryGetInstanceAttribute
155003962.0,177126,python,python,PyNumber_Negative
152454302.0,180555,python,python,_PyObject_GetAttrStackRef
151491537.0,180555,python,python,long_neg_method
151229498.0,177593,python,python,PyNumber_Negative
151003518.0,179861,python,python,PySlice_AdjustIndices
150998585.0,181911,python,python,long_neg_method
150730584.0,177126,python,python,slice_dealloc
150279836.0,181450,python,python,_PyEval_SliceIndex
148807962.0,179861,python,python,long_neg_method
148348696.0,177126,python,python,_PyObject_MakeTpCall
147524567.0,177593,python,python,PyErr_Occurred
146963450.0,177593,python,libc.so.6,_int_free
146641261.0,180555,python,libc.so.6,_int_free
146438902.0,180555,python,python,_PyObject_TryGetInstanceAttribute
145025295.0,177126,python,python,list_subscript
144129923.0,177126,python,python,PyObject_GC_Del
143783689.0,177126,python,python,_PyThreadState_PopFrame
143330246.0,179861,python,libc.so.6,_int_free
143012840.0,181911,python,python,PySlice_AdjustIndices
142755255.0,181450,python,libc.so.6,_int_free
142495252.0,181911,python,python,slice_dealloc
142076579.0,179861,python,python,_PyObject_TryGetInstanceAttribute
