self,pid,command,shared_obj,symbol
990043621.0,182478,python,python,list_ass_slice_lock_held
988337672.0,182478,python,python,list_dealloc
963673796.0,182791,python,python,list_ass_slice_lock_held
958124730.0,182971,python,python,list_ass_slice_lock_held
927786054.0,182648,python,python,list_ass_slice_lock_held
926266674.0,183318,python,python,list_dealloc
924529873.0,183497,python,python,list_dealloc
920838983.0,183497,python,python,list_ass_slice_lock_held
916268400.0,182648,python,python,list_dealloc
911181776.0,183318,python,python,list_ass_slice_lock_held
910512901.0,182971,python,python,list_dealloc
904430833.0,183156,python,python,list_ass_slice_lock_held
889161152.0,182791,python,python,list_dealloc
879448320.0,183156,python,python,list_dealloc
526849489.0,182478,python,python,_PyList_Concat
482688112.0,183497,python,python,_PyList_Concat
480041904.0,182648,python,python,_PyList_Concat
477494054.0,182478,python,python,list_slice_lock_held
475528668.0,183156,python,python,_PyList_Concat
468184485.0,183318,python,python,_PyList_Concat
467517777.0,182791,python,python,_PyList_Concat
464369921.0,182971,python,python,_PyList_Concat
441873349.0,183156,python,python,list_slice_lock_held
438462238.0,182971,python,python,list_slice_lock_held
436394483.0,182791,python,python,list_slice_lock_held
436353739.0,183497,python,python,list_slice_lock_held
430542145.0,183318,python,python,list_slice_lock_held
427085845.0,182648,python,python,list_slice_lock_held
403055408.0,182478,python,[JIT],0x0000fff526092200
358516593.0,183497,python,[JIT],0x0000f8160f5d1200
331950622.0,183318,python,[JIT],0x0000e774a0392200
305862140.0,182971,python,[JIT],0x0000f8fc28ca7200
289858629.0,182648,python,[JIT],0x0000f962e40fc200
287267835.0,182791,python,[JIT],0x0000e4671dc67200
286108557.0,182478,python,python,_PyCompactLong_Add
279466030.0,183156,python,[JIT],0x0000f66fa8813200
275154114.0,182478,python,python,_PyCompactLong_Subtract
270077249.0,183156,python,python,_PyCompactLong_Subtract
263865503.0,182971,python,python,_PyCompactLong_Add
263837064.0,182791,python,python,_PyCompactLong_Subtract
260356929.0,182971,python,python,_PyCompactLong_Subtract
258810555.0,182791,python,python,_PyCompactLong_Add
256821004.0,183318,python,python,_PyCompactLong_Add
255404769.0,182648,python,python,_PyCompactLong_Subtract
253548336.0,183497,python,python,_PyCompactLong_Subtract
253428045.0,183497,python,python,_PyCompactLong_Add
252510744.0,182648,python,python,_PyCompactLong_Add
249979769.0,183156,python,python,_PyCompactLong_Add
248014180.0,183318,python,python,_PyCompactLong_Subtract
238594036.0,183497,python,python,_PyObject_Malloc
236444264.0,182478,python,libc.so.6,_int_malloc
228955516.0,182971,python,libc.so.6,_int_malloc
228949681.0,182478,python,python,bytes_subscript
227749292.0,182478,python,python,_PyObject_Malloc
226544958.0,183318,python,python,bytes_subscript
225262745.0,183318,python,python,_PyObject_Malloc
222278928.0,183156,python,python,_Py_Dealloc
221250209.0,182648,python,python,_PyObject_Malloc
220819251.0,182791,python,python,bytes_subscript
219945938.0,183156,python,libc.so.6,_int_malloc
219039885.0,183156,python,python,_PyObject_Malloc
218762944.0,182971,python,python,_PyObject_Malloc
217799407.0,183156,python,python,bytes_subscript
217779648.0,182478,python,python,_PyFrame_ClearExceptCode
215908755.0,182478,python,python,_Py_Dealloc
215889654.0,183497,python,python,bytes_subscript
215199976.0,182648,python,python,bytes_subscript
214142560.0,182648,python,python,_Py_Dealloc
212630986.0,182791,python,libc.so.6,_int_malloc
211269344.0,183318,python,python,_Py_Dealloc
210234360.0,183318,python,python,_PyFrame_ClearExceptCode
210226046.0,182971,python,python,bytes_subscript
210124150.0,182791,python,python,_PyObject_Malloc
209406296.0,183318,python,libc.so.6,_int_malloc
207330936.0,183497,python,libc.so.6,_int_malloc
206649118.0,182478,python,python,_PyObject_Free
206241888.0,182791,python,python,_Py_Dealloc
204433325.0,182971,python,python,_Py_Dealloc
203677955.0,182971,python,python,_PyFrame_ClearExceptCode
203156185.0,183497,python,python,_PyFrame_ClearExceptCode
202001477.0,182791,python,python,_PyFrame_ClearExceptCode
199861263.0,182648,python,python,_PyFrame_ClearExceptCode
198017915.0,183497,python,python,_Py_Dealloc
197646477.0,182478,python,python,PyLong_AsNativeBytes.constprop.0
193192017.0,182478,python,python,_PyEval_FrameClearAndPop
192998165.0,182791,python,python,_PyObject_Free
191935870.0,182648,python,libc.so.6,_int_malloc
190320744.0,182971,python,python,_PyEval_FrameClearAndPop
190278509.0,182971,python,python,long_lshift_method
187202931.0,183497,python,python,_PyEval_FrameClearAndPop
186932797.0,182971,python,python,_PyObject_Free
186320165.0,182791,python,python,_PyEval_FrameClearAndPop
184133617.0,182971,python,python,_PyLong_FromMedium
182587710.0,182648,python,python,_PyObject_Free
181979418.0,183318,python,python,_PyObject_Free
181709354.0,182478,python,python,_PyLong_FromMedium
181195157.0,183156,python,python,_PyFrame_ClearExceptCode
180542836.0,183497,python,python,_PyObject_Free
178453564.0,183318,python,python,_PyLong_FromMedium
177007212.0,182478,python,python,long_dealloc
176804897.0,183156,python,python,_PyEval_FrameClearAndPop
176368891.0,183156,python,python,_PyObject_Free
175135500.0,182791,python,python,_PyLong_FromMedium
174726607.0,183318,python,python,_PyEval_FrameClearAndPop
174522962.0,182648,python,python,_PyEval_FrameClearAndPop
172274242.0,183318,python,python,long_lshift_method
171253287.0,182971,python,python,PyLong_AsNativeBytes.constprop.0
170817849.0,183156,python,python,long_lshift_method
169918637.0,183156,python,python,PyLong_AsNativeBytes.constprop.0
168842236.0,182791,python,python,PyLong_AsNativeBytes.constprop.0
168649046.0,183497,python,python,_PyLong_FromMedium
167749008.0,182478,python,python,_Py_NewReference
166841395.0,182478,python,python,long_lshift_method
166677610.0,183156,python,python,_PyLong_FromMedium
163758596.0,182971,python,python,_Py_NewReference
163169834.0,183497,python,python,PyLong_AsNativeBytes.constprop.0
162364969.0,182648,python,python,PyLong_AsNativeBytes.constprop.0
161708880.0,182648,python,python,long_lshift_method
161264285.0,182478,python,libc.so.6,__memcpy_generic
159599397.0,183497,python,python,_Py_NewReference
159283136.0,182648,python,python,_PyLong_FromMedium
159085724.0,182791,python,python,long_dealloc
158892668.0,182791,python,python,long_lshift_method
158809573.0,183156,python,python,_Py_NewReference
158506407.0,182648,python,python,long_dealloc
157388416.0,183318,python,python,PyLong_AsNativeBytes.constprop.0
157077860.0,183497,python,python,long_dealloc
157022411.0,182971,python,python,long_dealloc
156404735.0,183497,python,python,long_lshift_method
155597462.0,183156,python,python,long_dealloc
153997495.0,183318,python,python,long_dealloc
151886324.0,182791,python,python,_Py_NewReference
151879428.0,182478,python,[JIT],0x0000fff5260921fc
148907403.0,182648,python,python,_Py_NewReference
147223433.0,182648,python,libc.so.6,__memcpy_generic
147090909.0,183497,python,libc.so.6,__memcpy_generic
146940962.0,182971,python,libc.so.6,__memcpy_generic
146136585.0,183156,python,libc.so.6,__memcpy_generic
141363427.0,183318,python,python,_Py_NewReference
141295083.0,182791,python,libc.so.6,__memcpy_generic
140620073.0,183318,python,libc.so.6,__memcpy_generic
138044429.0,182478,python,python,PyObject_GetItem
136880725.0,182478,python,python,_PyEval_EvalFrameDefault
133765628.0,182478,python,python,PyLong_FromSsize_t
131065313.0,182478,python,python,unsafe_long_compare
130092702.0,182971,python,python,PyList_New.constprop.0
129961143.0,182478,python,python,long_lshift1
128118002.0,183318,python,python,unsafe_long_compare
127092310.0,183497,python,[JIT],0x0000f8160f5d11fc
126905159.0,182971,python,python,list_sort_impl
126553252.0,182648,python,python,unsafe_long_compare
125882117.0,182478,python,python,PyLong_AsSsize_t
124822254.0,183318,python,python,PyObject_GetItem
124756838.0,183497,python,python,PyLong_AsSsize_t
124632048.0,182478,python,python,_PyEval_SliceIndex
124242546.0,183318,python,[JIT],0x0000e774a03921fc
123776858.0,182478,python,python,PyList_New.constprop.0
123450132.0,182791,python,python,unsafe_long_compare
122977958.0,183156,python,python,list_sort_impl
122783089.0,182971,python,[JIT],0x0000f8fc28ca71fc
122769892.0,182478,python,python,list_sort_impl
122723772.0,182478,python,python,_PyLong_ExactDealloc
122472696.0,182971,python,python,unsafe_long_compare
122378690.0,182971,python,python,PyObject_GetItem
121691806.0,182791,python,python,list_sort_impl
121603654.0,182648,python,python,PyLong_AsSsize_t
120971523.0,183497,python,python,unsafe_long_compare
