self,pid,command,shared_obj,symbol
187452472.0,889489,perf,perf,io__get_char
185996744.0,889754,perf,perf,io__get_char
185697672.0,889818,perf,perf,io__get_char
184942527.0,889171,perf,perf,io__get_char
182026562.0,889285,perf,perf,io__get_char
181764781.0,889205,perf,perf,io__get_char
181045883.0,889472,perf,perf,io__get_char
180955219.0,890686,perf,perf,io__get_char
180666741.0,889302,perf,perf,io__get_char
180194898.0,889425,perf,perf,io__get_char
179956470.0,889361,perf,perf,io__get_char
179690536.0,890002,perf,perf,io__get_char
179071357.0,890485,perf,perf,io__get_char
178987876.0,890785,perf,perf,io__get_char
178799032.0,890532,perf,perf,io__get_char
178501564.0,889771,perf,perf,io__get_char
178269368.0,889985,perf,perf,io__get_char
178129380.0,889831,perf,perf,io__get_char
177812582.0,890502,perf,perf,io__get_char
177339383.0,890157,perf,perf,io__get_char
177048989.0,889673,perf,perf,io__get_char
177030705.0,889438,perf,perf,io__get_char
177006875.0,889188,perf,perf,io__get_char
176809344.0,890187,perf,perf,io__get_char
176801714.0,889317,perf,perf,io__get_char
176771213.0,889126,perf,perf,io__get_char
176760204.0,890412,perf,perf,io__get_char
176669405.0,889502,perf,perf,io__get_char
176589538.0,890170,perf,perf,io__get_char
176525748.0,890599,perf,perf,io__get_char
176398064.0,890454,perf,perf,io__get_char
176011722.0,890084,perf,perf,io__get_char
175817198.0,889255,perf,perf,io__get_char
175800785.0,889938,perf,perf,io__get_char
175532546.0,890300,perf,perf,io__get_char
175337120.0,890472,perf,perf,io__get_char
175090027.0,889116,perf,perf,io__get_char
174579043.0,889704,perf,perf,io__get_char
174480483.0,890802,perf,perf,io__get_char
174466099.0,889631,perf,perf,io__get_char
174437843.0,889519,perf,perf,io__get_char
174344570.0,890668,perf,perf,io__get_char
174318731.0,890768,perf,perf,io__get_char
174102044.0,889690,perf,perf,io__get_char
174029051.0,890330,perf,perf,io__get_char
173855288.0,890815,perf,perf,io__get_char
173688703.0,889455,perf,perf,io__get_char
173585358.0,890737,perf,perf,io__get_char
173532175.0,890519,perf,perf,io__get_char
173045961.0,890849,perf,perf,io__get_char
172989636.0,889583,perf,perf,io__get_char
172781746.0,890255,perf,perf,io__get_char
172608910.0,890238,perf,perf,io__get_char
172534544.0,889600,perf,perf,io__get_char
172198165.0,890437,perf,perf,io__get_char
172095701.0,889141,perf,perf,io__get_char
172089644.0,889158,perf,perf,io__get_char
171816163.0,890643,perf,perf,io__get_char
171753206.0,890612,perf,perf,io__get_char
171613923.0,889955,perf,perf,io__get_char
171603725.0,889801,perf,perf,io__get_char
171364667.0,889656,perf,perf,io__get_char
171349260.0,890283,perf,perf,io__get_char
171304117.0,889268,perf,perf,io__get_char
170377176.0,889921,perf,perf,io__get_char
170056861.0,889784,perf,perf,io__get_char
169878539.0,889972,perf,perf,io__get_char
169560709.0,889334,perf,perf,io__get_char
169376644.0,890582,perf,perf,io__get_char
169320458.0,890317,perf,perf,io__get_char
168552793.0,889863,perf,perf,io__get_char
167334957.0,890755,perf,perf,io__get_char
166657507.0,890832,perf,perf,io__get_char
166382354.0,890019,perf,perf,io__get_char
166303950.0,889536,perf,perf,io__get_char
166129353.0,890128,perf,perf,io__get_char
165737777.0,890101,perf,perf,io__get_char
164642529.0,890034,perf,perf,io__get_char
162569122.0,890347,perf,perf,io__get_char
83031055.0,889863,perf,perf,io__get_hex
82320776.0,890034,perf,perf,io__get_hex
81672230.0,889425,perf,perf,io__get_hex
81058901.0,890347,perf,perf,io__get_hex
80535462.0,890802,perf,perf,io__get_hex
80325147.0,890686,perf,perf,io__get_hex
80082346.0,889116,perf,perf,io__get_hex
79561301.0,889536,perf,perf,io__get_hex
79088770.0,889801,perf,perf,io__get_hex
78591740.0,890472,perf,perf,io__get_hex
78350491.0,889438,perf,perf,io__get_hex
78311148.0,889268,perf,perf,io__get_hex
78283468.0,890849,perf,perf,io__get_hex
77843618.0,890128,perf,perf,io__get_hex
77808654.0,890101,perf,perf,io__get_hex
77782038.0,889334,perf,perf,io__get_hex
77352108.0,889656,perf,perf,io__get_hex
77350478.0,889972,perf,perf,io__get_hex
77098682.0,890019,perf,perf,io__get_hex
77075229.0,890785,perf,perf,io__get_hex
76826166.0,890187,perf,perf,io__get_hex
76816108.0,889673,perf,perf,io__get_hex
76808127.0,890832,perf,perf,io__get_hex
76793967.0,889600,perf,perf,io__get_hex
76350838.0,890128,perf,perf,kallsyms__parse
76108622.0,889921,perf,perf,io__get_hex
76060410.0,890532,perf,perf,io__get_hex
75955506.0,889455,perf,perf,io__get_hex
75310406.0,889285,perf,perf,io__get_hex
75088882.0,890317,perf,perf,io__get_hex
75081412.0,890612,perf,perf,io__get_hex
74862412.0,890755,perf,perf,kallsyms__parse
74608610.0,890502,perf,perf,io__get_hex
74606657.0,889126,perf,perf,io__get_hex
74589497.0,889938,perf,perf,io__get_hex
74574006.0,890643,perf,perf,io__get_hex
74545331.0,889361,perf,perf,io__get_hex
74132930.0,890437,perf,perf,io__get_hex
74091320.0,890755,perf,perf,io__get_hex
73868642.0,890582,perf,perf,io__get_hex
73868460.0,890815,perf,perf,io__get_hex
73561534.0,890768,perf,perf,io__get_hex
73516061.0,889502,perf,perf,io__get_hex
73363287.0,889317,perf,perf,io__get_hex
73351748.0,889141,perf,perf,io__get_hex
73340137.0,889519,perf,perf,kallsyms__parse
73125163.0,890582,perf,perf,kallsyms__parse
73119904.0,890668,perf,perf,io__get_hex
73097064.0,890330,perf,perf,kallsyms__parse
72869569.0,889771,perf,perf,io__get_hex
72624385.0,890485,perf,perf,io__get_hex
72620892.0,890519,perf,perf,io__get_hex
72590287.0,889985,perf,perf,io__get_hex
72548663.0,889631,perf,perf,io__get_hex
72376095.0,889955,perf,perf,io__get_hex
72370609.0,890737,perf,perf,io__get_hex
72131784.0,890157,perf,perf,io__get_hex
72126779.0,890238,perf,perf,io__get_hex
72121422.0,889158,perf,perf,io__get_hex
72087143.0,889489,perf,perf,io__get_hex
71877868.0,889690,perf,perf,io__get_hex
71863651.0,890255,perf,perf,kallsyms__parse
71848751.0,890412,perf,perf,io__get_hex
71835731.0,889583,perf,perf,kallsyms__parse
71819980.0,889188,perf,perf,io__get_hex
71818953.0,890283,perf,perf,io__get_hex
71369152.0,889784,perf,perf,io__get_hex
71289124.0,890002,perf,perf,io__get_hex
71127149.0,889472,perf,perf,io__get_hex
71100657.0,890832,perf,perf,kallsyms__parse
71074356.0,889519,perf,perf,io__get_hex
70883456.0,889972,perf,perf,kallsyms__parse
70871673.0,889704,perf,perf,io__get_hex
70820486.0,889631,perf,perf,kallsyms__parse
70616115.0,889754,perf,perf,io__get_hex
70126461.0,890101,perf,perf,kallsyms__parse
69889389.0,889921,perf,perf,kallsyms__parse
69876768.0,889985,perf,perf,kallsyms__parse
69874613.0,889126,perf,perf,kallsyms__parse
69866135.0,889938,perf,perf,kallsyms__parse
69857697.0,890170,perf,perf,io__get_hex
69634079.0,889171,perf,perf,io__get_hex
69619464.0,889302,perf,perf,io__get_hex
69609328.0,890084,perf,perf,io__get_hex
69593480.0,890255,perf,perf,io__get_hex
69376254.0,889317,perf,perf,kallsyms__parse
69335519.0,889583,perf,perf,io__get_hex
