self,pid,command,shared_obj,symbol
187579017.0,189668,perf,perf,io__get_char
186836008.0,189529,perf,perf,io__get_char
184014650.0,190755,perf,perf,io__get_char
183189349.0,187852,perf,perf,io__get_char
182545618.0,189445,perf,perf,io__get_char
181775836.0,190309,perf,perf,io__get_char
179672099.0,190987,perf,perf,io__get_char
179441768.0,190937,perf,perf,io__get_char
179432040.0,189596,perf,perf,io__get_char
179274406.0,190920,perf,perf,io__get_char
178994433.0,189933,perf,perf,io__get_char
178914518.0,190822,perf,perf,io__get_char
178692070.0,190168,perf,perf,io__get_char
178516858.0,187319,perf,perf,io__get_char
178007769.0,191079,perf,perf,io__get_char
177684554.0,190499,perf,perf,io__get_char
177595471.0,189967,perf,perf,io__get_char
177579560.0,190738,perf,perf,io__get_char
177572392.0,189495,perf,perf,io__get_char
177557862.0,190431,perf,perf,io__get_char
177550564.0,190679,perf,perf,io__get_char
177259891.0,191008,perf,perf,io__get_char
177215223.0,190886,perf,perf,io__get_char
177205194.0,189634,perf,perf,io__get_char
177035126.0,189795,perf,perf,io__get_char
176869161.0,190717,perf,perf,io__get_char
176472276.0,189651,perf,perf,io__get_char
176347640.0,190151,perf,perf,io__get_char
176192624.0,190080,perf,perf,io__get_char
175996937.0,190236,perf,perf,io__get_char
175975258.0,187276,perf,perf,io__get_char
175918258.0,187917,perf,perf,io__get_char
175808305.0,187819,perf,perf,io__get_char
175721444.0,189202,perf,perf,io__get_char
175693327.0,190469,perf,perf,io__get_char
175611875.0,190379,perf,perf,io__get_char
175499669.0,188995,perf,perf,io__get_char
175402913.0,190253,perf,perf,io__get_char
175109200.0,188433,perf,perf,io__get_char
174906261.0,189899,perf,perf,io__get_char
174904288.0,190903,perf,perf,io__get_char
174811080.0,189829,perf,perf,io__get_char
174808329.0,190612,perf,perf,io__get_char
174522029.0,189307,perf,perf,io__get_char
174516967.0,190117,perf,perf,io__get_char
174505960.0,190536,perf,perf,io__get_char
174120260.0,189778,perf,perf,io__get_char
174073568.0,190097,perf,perf,io__get_char
173797779.0,189614,perf,perf,io__get_char
173726597.0,190595,perf,perf,io__get_char
173159201.0,189546,perf,perf,io__get_char
173141225.0,189950,perf,perf,io__get_char
173115521.0,189849,perf,perf,io__get_char
173001578.0,190414,perf,perf,io__get_char
172887466.0,189512,perf,perf,io__get_char
