self,pid,command,shared_obj,symbol
3853208239.0,193698,python,python,sre_ucs1_match
3513135260.0,193785,python,python,sre_ucs1_match
3512022739.0,193847,python,python,sre_ucs1_match
3423742143.0,193959,python,python,sre_ucs1_match
3408159064.0,194059,python,python,sre_ucs1_match
3403175864.0,194251,python,python,sre_ucs1_match
3397892977.0,194155,python,python,sre_ucs1_match
1646299687.0,193698,python,python,sre_search
1509825650.0,194155,python,python,sre_search
1498587916.0,194251,python,python,sre_search
1488906458.0,193785,python,python,sre_search
1488052099.0,194059,python,python,sre_search
1483392124.0,193959,python,python,sre_search
1453812882.0,193847,python,python,sre_search
359030523.0,193785,python,python,sre_ucs1_match
356261477.0,193847,python,python,sre_ucs1_match
343216928.0,194059,python,python,sre_ucs1_match
340317890.0,194251,python,python,sre_ucs1_match
333988176.0,194155,python,python,sre_ucs1_match
155536510.0,194155,python,python,sre_search
147861429.0,194251,python,python,sre_search
145047571.0,194059,python,python,sre_search
143611411.0,193785,python,python,sre_search
138789436.0,193847,python,python,sre_search
59343917.0,193785,python,libc.so.6,__memcpy_generic
56588208.0,193698,python,libc.so.6,__memcpy_generic
55344681.0,194059,python,libc.so.6,__memcpy_generic
53342186.0,193959,python,libc.so.6,__memcpy_generic
51137924.0,193847,python,libc.so.6,__memcpy_generic
50374512.0,194251,python,libc.so.6,__memcpy_generic
49207026.0,194155,python,libc.so.6,__memcpy_generic
35504880.0,193698,python,python,_PyObject_Malloc
33961900.0,194251,python,python,stringlib_bytes_join
33811481.0,194155,python,python,stringlib_bytes_join
33466627.0,194059,python,python,_PyObject_Malloc
32525395.0,193698,python,python,stringlib_bytes_join
32490423.0,194059,python,python,stringlib_bytes_join
32467755.0,193847,python,python,stringlib_bytes_join
31545250.0,193785,python,python,stringlib_bytes_join
30915794.0,193785,python,python,_PyObject_Malloc
29520644.0,193959,python,python,stringlib_bytes_join
29517218.0,193698,python,python,pattern_subx
28896192.0,193847,python,python,_PyObject_Malloc
27669563.0,194155,python,python,_PyObject_Malloc
27278964.0,194251,python,python,_PyObject_Malloc
25342174.0,193785,python,python,pattern_subx
24830419.0,194059,python,python,pattern_subx
24786641.0,194155,python,python,pattern_subx
24547669.0,193959,python,python,_PyObject_Malloc
23322186.0,194251,python,python,pattern_subx
22839848.0,193847,python,python,pattern_subx
22365866.0,194155,python,python,PyBuffer_Release
22303262.0,193785,python,python,PyBuffer_Release
22241039.0,193959,python,python,PyBuffer_Release
22115007.0,193959,python,python,pattern_subx
21836444.0,193847,python,python,PyBuffer_Release
21527693.0,194251,python,python,PyBuffer_Release
21354296.0,193698,python,python,PyBuffer_Release
19682062.0,193959,python,python,_PyObject_Free
19608968.0,194059,python,python,PyBuffer_Release
18638654.0,194155,python,python,list_dealloc
18355256.0,193698,python,python,_PyObject_Free
17883727.0,193698,python,python,list_dealloc
17374441.0,193847,python,python,list_dealloc
16626229.0,194059,python,python,_PyObject_Free
16561497.0,194251,python,python,list_dealloc
15610331.0,193785,python,python,list_dealloc
15390124.0,194059,python,python,list_dealloc
15192746.0,193959,python,python,list_dealloc
14408463.0,194251,python,python,_PyObject_Free
14395728.0,194155,python,python,_PyObject_Free
13883373.0,193847,python,python,_PyObject_Free
13662841.0,193698,python,python,PyBytes_FromStringAndSize
13119692.0,193785,python,python,_PyObject_Free
12401912.0,194059,python,libc.so.6,_int_malloc
11908158.0,193698,python,python,PyErr_Occurred
11570832.0,193847,python,libc.so.6,_int_malloc
11370617.0,193698,python,libc.so.6,_int_malloc
11195890.0,194155,python,python,PyErr_Occurred
10832003.0,194251,python,libc.so.6,_int_malloc
10668963.0,193959,python,python,PyBytes_FromStringAndSize
10437350.0,194155,python,python,PyBytes_FromStringAndSize
10416439.0,193785,python,libc.so.6,_int_malloc
10390351.0,194251,python,python,PyErr_Occurred
10181446.0,193959,python,python,PyErr_Occurred
10143705.0,194251,python,python,PyBytes_FromStringAndSize
9921248.0,194155,python,libc.so.6,_int_malloc
9681103.0,193959,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
9677426.0,193847,python,python,PyErr_Occurred
8947087.0,193785,python,python,PyBytes_FromStringAndSize
8869222.0,193959,python,libc.so.6,_int_malloc
8673348.0,194059,python,python,PyBytes_FromStringAndSize
8204286.0,193785,python,python,PyErr_Occurred
8195310.0,194059,python,python,PyErr_Occurred
8185526.0,193847,python,python,PyBytes_FromStringAndSize
7450796.0,193785,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
7422776.0,193785,python,python,_Py_Dealloc
7152387.0,194251,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
6952787.0,193847,python,python,_Py_Dealloc
6454358.0,193847,python,libc.so.6,__memcpy_generic
6209945.0,193847,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
6161118.0,194155,python,libc.so.6,__memcpy_generic
5970335.0,193785,python,libc.so.6,__memcpy_generic
5960455.0,194059,python,python,_Py_Dealloc
5713546.0,193698,python,python,_Py_Dealloc
5464875.0,194155,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
5460566.0,194059,python,libc.so.6,__memcpy_generic
5446331.0,194059,python,python,_PyObject_Malloc
5424907.0,193698,python,libc.so.6,malloc
5396338.0,194251,python,python,_Py_Dealloc
5215507.0,193959,python,python,_Py_Dealloc
5213149.0,194059,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
5172680.0,194251,python,[kernel.kallsyms],__pi_clear_page
4703951.0,193847,python,[kernel.kallsyms],__pi_clear_page
4689940.0,193847,python,[kernel.kallsyms],el0_da
4677745.0,194251,python,[kernel.kallsyms],el0_da
4471133.0,194251,python,python,stringlib_bytes_join
4469518.0,194251,python,libc.so.6,__memcpy_generic
4460794.0,194155,python,python,_Py_Dealloc
4227169.0,193785,python,python,_PyObject_Malloc
4222617.0,193959,python,libc.so.6,malloc
4222490.0,194059,python,[kernel.kallsyms],el0_da
4217935.0,193959,python,[kernel.kallsyms],el0_da
4214271.0,193698,python,python,memcpy@plt
3975658.0,193698,python,python,PyObject_Malloc
3975137.0,194155,python,[kernel.kallsyms],__pi_clear_page
3972351.0,193847,python,python,PyObject_Free
3957847.0,193847,python,python,memcpy@plt
3725807.0,194059,python,python,object_dealloc
3725035.0,193959,python,[kernel.kallsyms],handle_mm_fault
3723793.0,193847,python,python,stringlib_bytes_join
3722230.0,194059,python,libc.so.6,malloc
3718866.0,193847,python,libc.so.6,malloc
3477748.0,193847,python,python,PyObject_Malloc
3477535.0,194251,python,python,pattern_subx
3476961.0,193959,python,[kernel.kallsyms],__pi_clear_page
3468295.0,194251,python,python,memcpy@plt
3390890.0,194155,python,python,PyMem_Realloc
3232369.0,194155,python,libc.so.6,malloc
3229515.0,193785,python,python,PyObject_Free
3229321.0,193785,python,[kernel.kallsyms],el0_da
3228429.0,194059,python,python,stringlib_bytes_join
3223360.0,193785,python,libc.so.6,malloc
3064677.0,194155,python,python,PyObject_Malloc
