self,pid,command,shared_obj,symbol
983221861.0,194450,python,python,sre_ucs1_match
911066481.0,194543,python,python,sre_ucs1_match
907790930.0,194680,python,python,sre_ucs1_match
905814359.0,194577,python,python,sre_ucs1_match
903281262.0,194476,python,python,sre_ucs1_match
888125936.0,194612,python,python,sre_ucs1_match
164129286.0,194450,python,python,sre_search
153157711.0,194680,python,python,sre_search
150695728.0,194612,python,python,sre_search
150475314.0,194476,python,python,sre_search
150307182.0,194577,python,python,sre_search
146734524.0,194543,python,python,sre_search
93897578.0,194718,python,python,sre_ucs1_match
92188968.0,194680,python,python,sre_ucs1_match
91949157.0,194543,python,python,sre_ucs1_match
91931587.0,194577,python,python,sre_ucs1_match
91416184.0,194476,python,python,sre_ucs1_match
89308194.0,194612,python,python,sre_ucs1_match
61443879.0,194450,python,python,sre_ucs1_count
60608486.0,194612,python,python,sre_ucs1_count
58857467.0,194577,python,python,sre_ucs1_count
57333655.0,194476,python,python,sre_ucs1_count
55052930.0,194543,python,python,sre_ucs1_count
49924153.0,194680,python,python,sre_ucs1_count
15651042.0,194577,python,python,sre_search
15559910.0,194612,python,python,sre_search
15201792.0,194450,python,python,_PyEval_EvalFrameDefault
15160690.0,194543,python,python,sre_search
14901121.0,194476,python,python,sre_search
13402204.0,194718,python,python,sre_search
13061469.0,194476,python,python,_PyEval_EvalFrameDefault
12019430.0,194680,python,python,_PyEval_EvalFrameDefault
11065242.0,194543,python,python,_PyEval_EvalFrameDefault
10932819.0,194680,python,python,sre_search
10884355.0,194577,python,python,_PyEval_EvalFrameDefault
9326966.0,194612,python,python,_PyEval_EvalFrameDefault
7443881.0,194718,python,python,sre_ucs1_count
7205867.0,194680,python,python,sre_ucs1_count
6908601.0,194612,python,python,sre_ucs1_count
5465340.0,194577,python,python,sre_ucs1_count
5463691.0,194476,python,python,sre_ucs1_count
5213158.0,194612,python,python,siphash13
4472480.0,194543,python,python,sre_ucs1_count
4418338.0,194450,python,python,_PyObject_Malloc
4227987.0,194450,python,python,siphash13
4227553.0,194543,python,python,siphash13
3457203.0,194577,python,python,siphash13
3434006.0,194612,python,python,_PyObject_Malloc
3291306.0,194680,python,python,_PyEval_EvalFrameDefault
3259748.0,194476,python,python,siphash13
3218459.0,194680,python,python,siphash13
3013057.0,194476,python,python,PyObject_GC_UnTrack
2986331.0,194718,python,python,_PyEval_EvalFrameDefault
2751396.0,194543,python,python,_PyObject_Malloc
2750016.0,194476,python,python,_Py_Dealloc
2732166.0,194680,python,python,_PyObject_Malloc
2714247.0,194577,python,python,_PyObject_Malloc
2691999.0,194450,python,python,_Py_dict_lookup
2447279.0,194577,python,python,_Py_Dealloc
2411506.0,194476,python,python,_PyEval_EvalFrameDefault
2262751.0,194476,python,python,_PyObject_Malloc
2238297.0,194543,python,python,_PyObject_Free
2233754.0,194680,python,python,_PyObject_Free
2231141.0,194543,python,python,_PyTypeCache_Lookup
2226033.0,194612,python,python,_PyObject_Free
2125934.0,194577,python,python,_PyEval_EvalFrameDefault
2061806.0,194543,python,python,_PyEval_EvalFrameDefault
1999038.0,194577,python,python,_PyTypeCache_Lookup
1990949.0,194680,python,python,tuple_dealloc
1763000.0,194577,python,libc.so.6,_int_malloc
1755650.0,194612,python,python,_PyEval_EvalFrameDefault
1746698.0,194577,python,python,_Py_VectorCall_StackRefSteal
1739370.0,194680,python,python,_PyTypeCache_Lookup
1737371.0,194680,python,python,PyObject_GC_UnTrack
1735704.0,194450,python,python,_PyObject_Free
1734059.0,194612,python,python,_PyTypeCache_Lookup
1726026.0,194450,python,libc.so.6,_int_malloc
1721055.0,194450,python,python,_PyTypeCache_Lookup
1699594.0,194577,python,python,tuple_dealloc
1620014.0,194577,python,python,_sre_SRE_Pattern_search
1524026.0,194680,python,python,tuple_hash
1520986.0,194476,python,python,PyType_IsSubtype
1508760.0,194680,python,python,initialize_locals
1485627.0,194450,python,python,_Py_Dealloc
1474258.0,194450,python,python,tuple_dealloc
1448117.0,194450,python,python,initialize_locals
1437597.0,194680,python,python,PyObject_CallOneArg
1266381.0,194476,python,python,tuple_dealloc
1263061.0,194577,python,python,PyObject_CallOneArg
1261176.0,194577,python,python,_Py_dict_lookup
1260448.0,194680,python,python,_Py_Dealloc
1260031.0,194450,python,python,_sre_SRE_Pattern_search
1249750.0,194680,python,python,_PyEvalFramePushAndInit
1240361.0,194680,python,python,_PyObject_GC_NewVar
1237020.0,194543,python,python,PyObject_GC_UnTrack
1236810.0,194450,python,python,PyErr_GetRaisedException
1232302.0,194577,python,python,PyObject_IsInstance
1226107.0,194450,python,python,PyObject_GC_UnTrack
1225073.0,194450,python,python,PyObject_GC_Del
1213906.0,194612,python,libc.so.6,_int_malloc
