self,pid,command,shared_obj,symbol
535008033.0,194884,python,python,sre_ucs1_match
516671351.0,195055,python,python,sre_ucs1_match
487542141.0,194910,python,python,sre_ucs1_match
487280151.0,195156,python,python,sre_ucs1_match
483615557.0,195122,python,python,sre_ucs1_match
481429372.0,195016,python,python,sre_ucs1_match
56076292.0,194884,python,python,sre_search
53076423.0,195055,python,python,sre_ucs1_match
52637276.0,194945,python,python,sre_ucs1_match
49776491.0,195156,python,python,sre_ucs1_match
48824002.0,194910,python,python,sre_ucs1_match
47672335.0,195122,python,python,sre_ucs1_match
47175436.0,195055,python,python,sre_search
47156957.0,195122,python,python,sre_search
46838546.0,195156,python,python,sre_search
46379249.0,195016,python,python,sre_ucs1_match
45183765.0,194910,python,python,sre_search
43668069.0,195016,python,python,sre_search
35464397.0,194884,python,python,_PyEval_EvalFrameDefault
31091304.0,195055,python,python,sre_ucs1_count
30528364.0,195156,python,python,sre_ucs1_count
30011611.0,195016,python,python,_PyEval_EvalFrameDefault
29751568.0,194884,python,python,sre_ucs1_count
29535959.0,195122,python,python,sre_ucs1_count
29057983.0,194910,python,python,sre_ucs1_count
28286787.0,195055,python,libc.so.6,_int_malloc
25694530.0,194910,python,libc.so.6,_int_malloc
25635739.0,195016,python,libc.so.6,_int_malloc
25079311.0,195156,python,libc.so.6,_int_malloc
23966592.0,195122,python,libc.so.6,_int_malloc
23593158.0,195122,python,python,_PyEval_EvalFrameDefault
23043864.0,195016,python,python,sre_ucs1_count
21599403.0,195156,python,python,_PyEval_EvalFrameDefault
21568803.0,194910,python,python,_PyEval_EvalFrameDefault
21104353.0,195055,python,python,_PyEval_EvalFrameDefault
18042915.0,195156,python,python,_PyObject_Malloc
17660654.0,194910,python,python,_PyObject_Malloc
16179632.0,195016,python,python,_PyObject_Malloc
15856458.0,195122,python,python,_PyObject_Free
15130697.0,194884,python,python,pattern_subx
15071179.0,194945,python,python,_PyEval_EvalFrameDefault
14389323.0,195156,python,python,pattern_subx
13881957.0,195016,python,python,sre_category
13376039.0,194884,python,python,_PyObject_Malloc
13330331.0,195055,python,python,_PyObject_Malloc
13093265.0,195055,python,python,_PyEval_EvalFrameDefault
13069265.0,194910,python,python,_PyEval_EvalFrameDefault
12734452.0,195156,python,python,_PyEval_EvalFrameDefault
12626354.0,194910,python,python,pattern_subx
12610611.0,195055,python,python,_PyObject_Free
12408374.0,194910,python,python,_PyObject_Free
12175391.0,195016,python,python,_PyEval_EvalFrameDefault
12122084.0,195055,python,python,sre_category
11662711.0,195122,python,python,_PyEval_EvalFrameDefault
11428997.0,194884,python,libc.so.6,_int_malloc
11418220.0,194884,python,python,sre_category
11411678.0,195122,python,python,_PyObject_Malloc
11161476.0,194884,python,python,_PyObject_Free
10921405.0,195156,python,python,sre_category
10915146.0,195016,python,python,pattern_subx
10842726.0,195156,python,python,_sre_SRE_Pattern_search
10678918.0,195122,python,python,pattern_subx
10621712.0,195122,python,python,_Py_VectorCall_StackRefSteal
10594445.0,195016,python,python,_PyObject_Free
9935127.0,195055,python,python,pattern_subx
9711247.0,195016,python,python,_sre_SRE_Pattern_search
9434379.0,195122,python,python,sre_category
9431975.0,195156,python,python,_PyUnicode_ToLowercase
9416164.0,195156,python,python,_PyObject_Free
8936843.0,194884,python,python,_sre_SRE_Pattern_search
8694042.0,195055,python,python,_sre_SRE_Pattern_search
8691305.0,194884,python,python,_Py_VectorCall_StackRefSteal
8668812.0,194884,python,python,_PyUnicode_ToLowercase
8641855.0,195055,python,python,_Py_VectorCall_StackRefSteal
8588335.0,194910,python,python,_Py_VectorCall_StackRefSteal
8421006.0,194910,python,python,sre_category
8269004.0,194910,python,python,_sre_SRE_Pattern_search
8194562.0,195156,python,libc.so.6,__memcpy_generic
6719758.0,195016,python,python,_Py_VectorCall_StackRefSteal
6701647.0,195055,python,python,PyUnicode_Substring
6699930.0,195016,python,python,_PyUnicode_ToLowercase
6454299.0,194910,python,python,_PyUnicode_JoinArray.part.0
6445924.0,195055,python,libc.so.6,__memcpy_generic
6212361.0,194910,python,python,_Py_Dealloc
6208070.0,195016,python,python,PyUnicode_Substring
6195201.0,194884,python,python,_PyUnicode_IsAlpha
6186249.0,195122,python,python,_sre_SRE_Pattern_search
5959613.0,194910,python,libc.so.6,__memcpy_generic
5956201.0,195016,python,libc.so.6,__memcpy_generic
5956125.0,195156,python,python,_PyUnicode_IsAlpha
5955648.0,195055,python,python,_PyUnicode_ToLowercase
5914321.0,195156,python,python,_Py_VectorCall_StackRefSteal
5883446.0,194884,python,libc.so.6,__memcpy_generic
5728489.0,195016,python,python,_PyUnicode_IsAlpha
5710193.0,194884,python,python,PyUnicode_Substring
5705505.0,194910,python,python,_PyUnicode_IsAlpha
5696285.0,195122,python,python,sre_search
5464880.0,195122,python,python,_PyUnicode_JoinArray.part.0
5463811.0,195122,python,python,_PyUnicode_ToLowercase
5463559.0,194910,python,python,PyUnicode_Substring
5462029.0,194884,python,python,_PyUnicode_JoinArray.part.0
5441419.0,195055,python,python,_PyUnicode_IsAlpha
5258252.0,194910,python,python,pattern_new_match
5212083.0,195122,python,libc.so.6,__memcpy_generic
5189277.0,194884,python,python,pattern_new_match
5129986.0,194884,python,libc.so.6,malloc
5002241.0,195156,python,libc.so.6,malloc
4966233.0,195156,python,python,PyUnicode_Substring
4719205.0,195156,python,python,_PyUnicode_JoinArray.part.0
4716502.0,195016,python,python,sre_search
4698904.0,195156,python,python,_Py_Dealloc
4670691.0,195055,python,libc.so.6,malloc
4470876.0,195122,python,python,PyUnicode_Substring
4469068.0,195055,python,libc.so.6,_int_free_create_chunk
4464910.0,195156,python,python,_PyArg_UnpackKeywords
4455063.0,194910,python,python,_PyArg_UnpackKeywords
4453265.0,195122,python,libc.so.6,_int_free_merge_chunk
4427154.0,195055,python,python,sre_search
4240188.0,195016,python,python,sre_ucs1_count
4231889.0,194884,python,python,_Py_NewReference
4221770.0,195122,python,python,PyObject_GC_UnTrack
4221578.0,195122,python,python,_PyUnicode_IsAlpha
4221284.0,195156,python,python,PyErr_Occurred
4219501.0,195016,python,python,_Py_dict_lookup
4213877.0,194910,python,python,_PyUnicode_ToLowercase
4206697.0,194884,python,python,PyErr_Occurred
4203709.0,194945,python,python,sre_search
3996844.0,194910,python,libc.so.6,cfree@GLIBC_2.17
3981151.0,195016,python,libc.so.6,unlink_chunk.isra.0
3973190.0,194910,python,python,sre_search
3972144.0,195016,python,python,_PyUnicode_JoinArray.part.0
3962797.0,195122,python,python,sre_ucs1_count
3960439.0,195055,python,python,_PyUnicode_JoinArray.part.0
3940375.0,195122,python,libc.so.6,_int_free
3930893.0,195016,python,python,pattern_new_match
3912127.0,194884,python,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
3795374.0,194910,python,libc.so.6,_int_free_merge_chunk
3727395.0,195016,python,libc.so.6,malloc
3726019.0,195122,python,python,PyErr_Occurred
3724366.0,194884,python,python,_Py_dict_lookup
3723875.0,195122,python,python,_PyArg_UnpackKeywords
3722190.0,195156,python,python,sre_search
3713101.0,194884,python,python,_PyArg_UnpackKeywords
3702697.0,195122,python,libc.so.6,_int_free_maybe_consolidate.part.0
3699114.0,194884,python,python,_Py_Dealloc
3696801.0,195156,python,python,_PyObject_Malloc
3616118.0,194910,python,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
3494536.0,195156,python,libc.so.6,unlink_chunk.isra.0
3483704.0,194910,python,libc.so.6,_int_free
3481891.0,194910,python,libc.so.6,malloc
3477913.0,195122,python,python,pattern_new_match
3472564.0,195122,python,python,PyList_New
3472159.0,195156,python,python,pattern_new_match
3462395.0,194884,python,python,PyMem_Free
3460266.0,195016,python,libc.so.6,cfree@GLIBC_2.17
3405469.0,195055,python,python,pattern_new_match
3273505.0,195156,python,libc.so.6,_int_free_create_chunk
3244041.0,195016,python,libc.so.6,_int_free_merge_chunk
3234845.0,195055,python,libc.so.6,_int_free_merge_chunk
3229457.0,195016,python,python,_Py_Dealloc
3228681.0,195055,python,python,_PyUnicode_IsDecimalDigit
3228399.0,195122,python,libc.so.6,malloc
3227152.0,194910,python,python,PyMem_Free
3226362.0,194910,python,python,_PyTypeCache_Lookup
3224784.0,195122,python,python,_Py_Dealloc
3216679.0,195055,python,libc.so.6,cfree@GLIBC_2.17
3198644.0,195156,python,python,PyMem_Free
3196389.0,194910,python,python,PyErr_Occurred
3190933.0,194910,python,python,sre_ucs1_count
3006111.0,195055,python,python,_PyObject_Realloc
2980370.0,195156,python,python,_Py_dict_lookup
2980176.0,195156,python,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
2980154.0,195122,python,python,list_dealloc
2979335.0,195016,python,python,PyList_New
2979226.0,195055,python,python,PyMem_Free
2976992.0,195055,python,python,_Py_Dealloc
2976570.0,195122,python,python,PyMem_Free
2974559.0,195122,python,libc.so.6,cfree@GLIBC_2.17
2963096.0,195055,python,python,PyErr_Occurred
2956494.0,195016,python,python,_PyArg_UnpackKeywords
2951390.0,194910,python,libc.so.6,unlink_chunk.isra.0
2935534.0,195156,python,libc.so.6,_int_free_merge_chunk
2736106.0,195016,python,python,PyMem_Free
2735231.0,195156,python,libc.so.6,cfree@GLIBC_2.17
2732455.0,195156,python,python,_PyTypeCache_Lookup
2732180.0,195055,python,python,unicode_dealloc
2731989.0,194910,python,python,_PyUnicode_IsDecimalDigit
2731232.0,194884,python,python,_PyUnicode_IsDecimalDigit
2730857.0,195122,python,python,PyMem_Realloc
2729994.0,195122,python,python,_PyUnicode_IsDecimalDigit
2728785.0,195016,python,python,PyErr_Occurred
2728622.0,194910,python,libc.so.6,_int_free_create_chunk
2727349.0,194945,python,python,_PyObject_Malloc
2725990.0,195156,python,python,_PyUnicode_IsDecimalDigit
2719262.0,194884,python,libc.so.6,_int_free
2713118.0,195122,python,python,_PyObject_Realloc
2708490.0,195016,python,libc.so.6,_int_free
2697612.0,195156,python,libc.so.6,_int_free_maybe_consolidate.part.0
2670107.0,194884,python,libc.so.6,_int_free_merge_chunk
2510383.0,194910,python,python,_Py_NewReference
2491751.0,195156,python,libc.so.6,_int_free
2484166.0,195122,python,python,_PyTypeCache_Lookup
2483907.0,195016,python,python,_PyTypeCache_Lookup
2483287.0,194884,python,python,list_dealloc
2483047.0,194884,python,libc.so.6,_int_free_create_chunk
2483014.0,195122,python,python,_PyList_AppendTakeRefListResize
2481188.0,195156,python,python,PyObject_GC_UnTrack
2479610.0,195055,python,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
2478975.0,195122,python,libc.so.6,unlink_chunk.isra.0
2476219.0,195055,python,python,sre_ucs1_count
2472191.0,195122,python,libc.so.6,_int_malloc
2468444.0,194910,python,python,list_dealloc
2467040.0,195156,python,python,sre_ucs1_count
2459881.0,195122,python,python,PyObject_Vectorcall
2459421.0,194884,python,python,PyObject_Vectorcall
2262808.0,194945,python,python,_PyObject_Free
2239756.0,194910,python,python,PyObject_Vectorcall
2236370.0,194945,python,python,sre_ucs1_count
2236285.0,195055,python,python,PyObject_RichCompareBool
2235550.0,195156,python,python,PySequence_Fast
2235096.0,194910,python,python,sre_category
2235092.0,195055,python,python,_PyArg_UnpackKeywords
2235089.0,195016,python,python,PySequence_Fast
2232575.0,194884,python,python,_PyFrame_ClearExceptCode
2228341.0,195156,python,python,PyUnicode_New.part.0
2224141.0,195055,python,libc.so.6,_int_free
2215163.0,195016,python,python,_PyObject_Realloc
2211980.0,195122,python,python,_Py_dict_lookup
2173083.0,195156,python,libc.so.6,_int_malloc
2135852.0,195055,python,python,PyObject_Vectorcall
2096259.0,195122,python,libc.so.6,_int_free_create_chunk
2002024.0,194945,python,libc.so.6,_int_malloc
1994720.0,194884,python,python,PyMem_Realloc
1991167.0,195122,python,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
1988488.0,195016,python,libc.so.6,_int_free_create_chunk
1987251.0,195016,python,python,PyObject_RichCompareBool
1987234.0,195055,python,python,PyObject_GC_UnTrack
1986913.0,195156,python,python,_PyFrame_ClearExceptCode
1986817.0,195055,python,python,PyList_New
1986709.0,195055,python,python,PyMem_Realloc
1986630.0,194884,python,python,PySequence_Fast
1986546.0,194910,python,python,_Py_dict_lookup
1986473.0,195016,python,python,_PyObject_Malloc
1986451.0,195156,python,python,PyUnicode_Join
1986297.0,194884,python,python,_PyUnicode_IsNumeric
1986104.0,195156,python,python,PyList_New
1985684.0,195156,python,python,_PyObject_Realloc
1984553.0,194910,python,python,_PyObject_Malloc
1980639.0,194884,python,python,PyCMethod_New
1979032.0,195055,python,libc.so.6,unlink_chunk.isra.0
1978278.0,194884,python,libc.so.6,_int_free_maybe_consolidate.part.0
1976923.0,195122,python,python,PyLong_FromLong
1970358.0,195016,python,python,_PyList_AppendTakeRefListResize
1943694.0,195122,python,python,_Py_NewReference
1783789.0,195016,python,python,_sre_SRE_Pattern_search
1739484.0,195055,python,python,PyObject_Malloc
1739219.0,194884,python,python,PyObject_GC_UnTrack
1739196.0,195016,python,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
1739097.0,195156,python,python,PyObject_RichCompareBool
1738995.0,195055,python,python,_Py_dict_lookup
1738643.0,194910,python,python,_PyUnicode_IsNumeric
1738641.0,195122,python,python,PyUnicode_New.part.0
1738635.0,195016,python,python,PyUnicode_New.part.0
