self,pid,command,shared_obj,symbol
895350159.0,898854,python,python,PyFloat_FromDouble
877237960.0,899737,python,python,PyFloat_FromDouble
865244377.0,897319,python,python,PyFloat_FromDouble
846350122.0,900024,python,python,PyFloat_FromDouble
829812872.0,899919,python,python,PyFloat_FromDouble
822409535.0,897640,python,python,PyFloat_FromDouble
777427920.0,897475,python,python,PyFloat_FromDouble
556557417.0,898854,python,python,_PyCompactLong_Add
554370085.0,897319,python,python,vgetargs1_impl.constprop.0
551615422.0,897319,python,python,PyNumber_AsSsize_t
549405320.0,897319,python,python,convertitem.constprop.0
534225787.0,900024,python,python,convertitem.constprop.0
527813784.0,897640,python,python,vgetargs1_impl.constprop.0
526286891.0,898854,python,python,convertitem.constprop.0
519874684.0,898854,python,python,vgetargs1_impl.constprop.0
517653083.0,899919,python,python,vgetargs1_impl.constprop.0
516102504.0,900024,python,python,vgetargs1_impl.constprop.0
515813408.0,897319,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
515637762.0,899919,python,python,PyNumber_AsSsize_t
515120695.0,899737,python,python,_PyCompactLong_Add
511801445.0,897640,python,python,convertitem.constprop.0
511714395.0,899919,python,python,convertitem.constprop.0
509050019.0,899737,python,python,convertitem.constprop.0
507847623.0,899737,python,python,vgetargs1_impl.constprop.0
506204013.0,897319,python,python,_PyCompactLong_Add
505695482.0,897475,python,python,convertitem.constprop.0
504345686.0,897640,python,python,PyNumber_AsSsize_t
503114515.0,897640,python,python,_PyCompactLong_Add
502844211.0,900024,python,python,PyNumber_AsSsize_t
501750190.0,897475,python,python,vgetargs1_impl.constprop.0
499219525.0,899737,python,python,PyNumber_AsSsize_t
498469326.0,897475,python,python,PyNumber_AsSsize_t
492962630.0,900024,python,python,_PyCompactLong_Add
490493688.0,898854,python,python,PyNumber_AsSsize_t
490241949.0,897475,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
482032047.0,899737,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
481974871.0,898854,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
472174022.0,897475,python,python,_PyCompactLong_Add
470989078.0,899919,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
461356163.0,897640,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
460845305.0,900024,python,array.cpython-316-aarch64-linux-gnu.so,array_subscr
449366778.0,899919,python,python,_PyCompactLong_Add
410539189.0,897319,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
385146907.0,897640,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
382767184.0,897319,python,python,_Py_Dealloc
380722938.0,900024,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
378993962.0,899737,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
377703348.0,898854,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
367576820.0,899919,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
362819014.0,899737,python,python,float_dealloc
362589768.0,897640,python,python,_Py_Dealloc
361361720.0,897319,python,python,float_dealloc
357903144.0,897475,python,array.cpython-316-aarch64-linux-gnu.so,array_ass_subscr
355641494.0,897319,python,python,_Py_NewReference
355425020.0,899737,python,python,_Py_Dealloc
354126582.0,897319,python,python,PyArg_Parse
353994299.0,899919,python,python,_Py_Dealloc
350443543.0,898854,python,python,_Py_Dealloc
345488611.0,897475,python,python,_Py_Dealloc
345001785.0,897319,python,python,PyObject_GetItem
343222600.0,898854,python,python,float_dealloc
341944968.0,897640,python,python,float_dealloc
339477866.0,900024,python,python,_Py_Dealloc
335033672.0,898854,python,python,PyArg_Parse
333581092.0,898854,python,python,PyObject_GetItem
332316344.0,897640,python,python,PyObject_GetItem
331638734.0,899919,python,python,PyArg_Parse
330305051.0,899919,python,python,float_dealloc
330085435.0,897475,python,python,float_dealloc
328568141.0,898854,python,python,_Py_NewReference
328297348.0,897640,python,python,_Py_NewReference
325047558.0,900024,python,python,PyArg_Parse
323606538.0,899737,python,python,_Py_NewReference
322390406.0,897475,python,python,_Py_NewReference
319409339.0,900024,python,python,_Py_NewReference
318843538.0,897475,python,python,PyArg_Parse
317937325.0,897475,python,python,PyObject_GetItem
315285183.0,899919,python,python,PyObject_GetItem
314713292.0,899737,python,python,PyObject_GetItem
314437758.0,900024,python,python,float_dealloc
310276220.0,899919,python,python,_Py_NewReference
309578625.0,899737,python,python,PyArg_Parse
305710081.0,900024,python,python,PyObject_GetItem
300279458.0,897640,python,python,PyArg_Parse
