self,pid,command,shared_obj,symbol
351519296.0,901842,python,python,float_compactlong_true_div
339559056.0,902076,python,python,float_compactlong_true_div
326480550.0,901842,python,python,_PyCompactLong_Add
323748155.0,901900,python,python,float_compactlong_true_div
314216949.0,902007,python,python,float_compactlong_true_div
312824727.0,902112,python,python,float_compactlong_true_div
297981403.0,902112,python,python,_PyCompactLong_Add
297887737.0,901869,python,python,float_compactlong_true_div
296023221.0,902007,python,python,_PyCompactLong_Add
290636266.0,901869,python,python,_PyCompactLong_Add
275223189.0,902076,python,python,_PyCompactLong_Add
275021847.0,901900,python,python,_PyCompactLong_Add
126687638.0,901842,python,python,_PyLong_ExactDealloc
126172055.0,901842,python,python,_PyCompactLong_Multiply
125935638.0,902007,python,python,_PyLong_ExactDealloc
117748000.0,901900,python,python,_PyLong_ExactDealloc
116021659.0,902112,python,python,_PyLong_ExactDealloc
114963444.0,902076,python,python,_PyLong_ExactDealloc
114034492.0,901869,python,python,_PyLong_ExactDealloc
113507991.0,902076,python,python,_PyCompactLong_Multiply
110101471.0,901900,python,python,_PyCompactLong_Multiply
109275396.0,902007,python,python,_PyCompactLong_Multiply
107535244.0,901869,python,python,_PyCompactLong_Multiply
106718333.0,902076,python,python,enum_next
101394920.0,901842,python,python,_Py_NewReference
100632942.0,901842,python,python,PyFloat_FromDouble
100106810.0,901869,python,python,PyFloat_FromDouble
97830885.0,901900,python,python,PyFloat_FromDouble
95390101.0,902112,python,python,_PyCompactLong_Multiply
95141812.0,902112,python,python,enum_next
95136766.0,901869,python,python,_Py_NewReference
95065688.0,902007,python,python,PyFloat_FromDouble
94602779.0,902112,python,python,_Py_NewReference
94381841.0,902076,python,python,_Py_NewReference
91608931.0,902007,python,python,enum_next
91154478.0,901842,python,python,enum_next
90100146.0,901900,python,python,_Py_NewReference
89902627.0,901869,python,python,enum_next
86694439.0,901900,python,python,enum_next
84954411.0,902007,python,python,_Py_NewReference
84231986.0,902112,python,python,PyFloat_FromDouble
77023287.0,901842,python,python,long_div
77012463.0,901869,python,python,long_div
75521837.0,902076,python,python,PyFloat_FromDouble
72783638.0,901842,python,python,PyNumber_FloorDivide
69537913.0,902007,python,python,_PyFrame_ClearExceptCode
69320239.0,901842,python,python,_PyLong_FromMedium
68324342.0,901842,python,python,_PyFrame_ClearExceptCode
68262674.0,902076,python,python,PyNumber_FloorDivide
67574207.0,902007,python,python,long_div
66816453.0,902076,python,python,long_div
66077447.0,901869,python,python,_PyFrame_ClearExceptCode
63567825.0,902007,python,python,PyNumber_FloorDivide
63111270.0,902112,python,python,PyNumber_FloorDivide
62852552.0,901900,python,python,long_div
62211638.0,901900,python,python,_PyFrame_ClearExceptCode
62100203.0,902112,python,python,long_div
61868451.0,901900,python,python,_PyLong_FromMedium
61856813.0,902112,python,python,_PyEval_FrameClearAndPop
61853275.0,902076,python,python,_PyFrame_ClearExceptCode
60363339.0,901842,python,python,_PyEval_FrameClearAndPop
59720487.0,901900,python,python,PyNumber_FloorDivide
59631650.0,902112,python,python,_PyFrame_ClearExceptCode
59082689.0,901869,python,python,PyNumber_FloorDivide
58126794.0,902076,python,python,_PyLong_FromMedium
57619607.0,901900,python,python,_PyEval_FrameClearAndPop
