self,pid,command,shared_obj,symbol
907265739.0,924936,python,python,_PyEval_EvalFrameDefault
818838755.0,925375,python,python,_PyEval_EvalFrameDefault
807938554.0,925123,python,python,_PyEval_EvalFrameDefault
797004309.0,924968,python,python,_PyEval_EvalFrameDefault
796770155.0,925225,python,python,_PyEval_EvalFrameDefault
774812525.0,925008,python,python,_PyEval_EvalFrameDefault
152291319.0,925008,python,python,_PyTypeCache_Lookup
152144337.0,924936,python,python,_PyTypeCache_Lookup
151197541.0,925225,python,python,_PyTypeCache_Lookup
147373244.0,925123,python,python,_PyTypeCache_Lookup
144972223.0,925375,python,python,_PyTypeCache_Lookup
144640991.0,924968,python,python,_PyTypeCache_Lookup
126763611.0,924968,python,python,_PyEval_EvalFrameDefault
119436389.0,925008,python,python,_PyObject_Malloc
118234759.0,925081,python,python,_PyEval_EvalFrameDefault
118078988.0,925008,python,python,_PyEval_EvalFrameDefault
117786305.0,925123,python,python,_PyEval_EvalFrameDefault
117525984.0,924936,python,python,_PyObject_Malloc
117240500.0,925225,python,python,_PyEval_EvalFrameDefault
109614185.0,925375,python,python,_PyEval_EvalFrameDefault
108553056.0,925123,python,python,_PyObject_Malloc
106896561.0,925375,python,python,_PyObject_Malloc
104192920.0,924968,python,python,_PyObject_Malloc
102381400.0,925225,python,python,_PyObject_Malloc
93501622.0,924936,python,python,_PyFrame_ClearExceptCode
90611424.0,924936,python,python,unicodekeys_lookup_unicode
88026764.0,925123,python,python,unicodekeys_lookup_unicode
86782720.0,925008,python,python,_Py_Dealloc
85830001.0,925375,python,python,_PyFrame_ClearExceptCode
84815596.0,925225,python,python,unicodekeys_lookup_unicode
83820179.0,925008,python,python,unicodekeys_lookup_unicode
83339092.0,924968,python,python,_PyFrame_ClearExceptCode
83082700.0,925225,python,python,_PyFrame_ClearExceptCode
83046722.0,925123,python,python,_PyFrame_ClearExceptCode
82832027.0,924936,python,python,_Py_Dealloc
81691832.0,925375,python,python,unicodekeys_lookup_unicode
80860940.0,925008,python,python,_PyFrame_ClearExceptCode
80388176.0,924968,python,python,_Py_Dealloc
79642440.0,924968,python,python,unicodekeys_lookup_unicode
78602482.0,925123,python,python,_Py_Dealloc
76617130.0,925375,python,python,_Py_Dealloc
74905393.0,925225,python,python,_Py_Dealloc
69449476.0,924968,python,python,_PyObject_GenericGetAttrWithDict
68411204.0,925375,python,python,_PyObject_Free
67945512.0,925225,python,python,_PyObject_Free
67493569.0,924936,python,python,_PyObject_Free
67220159.0,924936,python,python,_PyObject_GenericGetAttrWithDict
66943935.0,925123,python,python,_PyObject_Free
66456363.0,925123,python,python,_PyObject_GenericGetAttrWithDict
65986433.0,924936,python,python,tuple_dealloc
65235070.0,925008,python,python,_PyObject_GenericGetAttrWithDict
64988284.0,925375,python,python,_PyObject_GenericGetAttrWithDict
62762109.0,924968,python,python,_PyObject_Free
62737928.0,925123,python,python,tuple_dealloc
62726871.0,925225,python,python,_PyObject_GenericGetAttrWithDict
62021872.0,924936,python,python,_Py_dict_lookup
59531967.0,925225,python,python,tuple_dealloc
59472503.0,925008,python,python,_PyObject_Free
59254580.0,924936,python,python,initialize_locals
57036050.0,925008,python,python,tuple_dealloc
56309407.0,925008,python,python,_Py_dict_lookup
56253338.0,925008,python,python,_PyType_LookupStackRefAndVersion
56081242.0,925375,python,python,tuple_dealloc
56021352.0,925225,python,python,_Py_dict_lookup
53839656.0,925375,python,python,_Py_dict_lookup
53086654.0,924968,python,python,_Py_dict_lookup
52734881.0,924936,python,python,_PyObject_GetAttrStackRef
52487768.0,924968,python,python,initialize_locals
52082416.0,925225,python,python,initialize_locals
51341265.0,924936,python,python,_PyType_LookupStackRefAndVersion
50344586.0,925225,python,python,_PyType_LookupStackRefAndVersion
50100636.0,925375,python,python,initialize_locals
50045757.0,924968,python,python,_PyType_LookupStackRefAndVersion
48854656.0,925008,python,python,initialize_locals
47849001.0,925225,python,python,_PyObject_GetAttrStackRef
46630602.0,925123,python,python,initialize_locals
46630471.0,924936,python,python,tuple_alloc
46390649.0,924968,python,python,tuple_dealloc
46366726.0,925008,python,python,_PyObject_GetAttrStackRef
46172305.0,924968,python,python,PyObject_GC_UnTrack
45900587.0,925375,python,python,_PyType_LookupStackRefAndVersion
45394148.0,925123,python,python,_Py_dict_lookup
45137946.0,925375,python,python,_PyObject_GetAttrStackRef
44895283.0,925225,python,python,PyObject_GC_UnTrack
44406247.0,925123,python,python,_PyType_LookupStackRefAndVersion
44154224.0,924936,python,python,PyObject_GC_UnTrack
43670977.0,925123,python,python,PyObject_GC_UnTrack
43627271.0,925008,python,python,PyObject_SetAttr
43158965.0,925123,python,python,PyObject_SetAttr
42908375.0,924936,python,python,PyObject_GenericSetAttr
42667848.0,925123,python,python,_PyObject_GetAttrStackRef
42403366.0,924968,python,python,_PyObject_GetAttrStackRef
41673238.0,925375,python,python,tuple_alloc
41396825.0,925008,python,python,PyObject_GC_UnTrack
40943984.0,924968,python,python,_Py_VectorCall_StackRefSteal
40700922.0,925123,python,python,tuple_alloc
39686747.0,925225,python,python,tuple_alloc
39476355.0,925375,python,python,PyObject_GC_UnTrack
39182552.0,925375,python,python,PyObject_SetAttr
38464651.0,924936,python,python,store_instance_attr_lock_held
37708430.0,924968,python,python,PyObject_SetAttr
36712556.0,925123,python,python,PyObject_GenericSetAttr
36479054.0,925225,python,python,PyObject_SetAttr
35971678.0,925225,python,python,_PyEvalFramePushAndInit
35459977.0,925375,python,python,PyObject_GenericSetAttr
35217589.0,925008,python,python,tuple_alloc
34728696.0,924968,python,python,tuple_alloc
34492301.0,925123,python,python,_Py_VectorCall_StackRefSteal
34460824.0,924968,python,python,_PyEval_FrameClearAndPop
34242264.0,925375,python,python,_Py_VectorCall_StackRefSteal
33982074.0,924968,python,python,PyObject_GenericSetAttr
33961302.0,925008,python,python,PyObject_GenericSetAttr
33739833.0,924936,python,python,PyObject_SetAttr
33245715.0,925225,python,python,PyObject_GenericSetAttr
33224558.0,925123,python,python,_PyObject_TryGetInstanceAttribute
32998830.0,925123,python,python,_PyEvalFramePushAndInit
32981912.0,925008,python,python,_PyObject_TryGetInstanceAttribute
32495493.0,925225,python,python,_PyEval_FrameClearAndPop
32474765.0,924936,python,python,_Py_VectorCall_StackRefSteal
32266021.0,925008,python,python,_Py_VectorCall_StackRefSteal
32231313.0,924936,python,python,_PyEval_FrameClearAndPop
31758879.0,924968,python,python,_PyEvalFramePushAndInit
31748741.0,924936,python,python,_PyObject_TryGetInstanceAttribute
31748372.0,924968,python,python,_PyObject_TryGetInstanceAttribute
31745391.0,925225,python,python,_PyObject_TryGetInstanceAttribute
31487988.0,924936,python,python,_PyEvalFramePushAndInit
31009685.0,925225,python,python,_Py_VectorCall_StackRefSteal
30976606.0,925375,python,python,_PyEvalFramePushAndInit
29779062.0,925375,python,python,store_instance_attr_lock_held
29507222.0,925123,python,python,_PyEval_FrameClearAndPop
29256268.0,925008,python,python,_PyEvalFramePushAndInit
28780093.0,925008,python,python,_PyEval_FrameClearAndPop
28513224.0,925008,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
28282042.0,925375,python,python,_PyEval_FrameClearAndPop
27794740.0,925008,python,python,store_instance_attr_lock_held
27059248.0,924968,python,python,store_instance_attr_lock_held
