self,pid,command,shared_obj,symbol
263325636.0,928637,python,python,_PyEval_EvalFrameDefault
212422548.0,928770,python,python,_PyEval_EvalFrameDefault
210367863.0,929069,python,python,_PyEval_EvalFrameDefault
206162851.0,928855,python,python,_PyEval_EvalFrameDefault
201643655.0,928912,python,python,_PyEval_EvalFrameDefault
197501107.0,929234,python,python,_PyEval_EvalFrameDefault
55691569.0,929156,python,python,_PyEval_EvalFrameDefault
52351710.0,929069,python,python,_PyEval_EvalFrameDefault
51465684.0,928912,python,python,_PyEval_EvalFrameDefault
50946234.0,928770,python,python,_PyEval_EvalFrameDefault
49704494.0,928855,python,python,_PyEval_EvalFrameDefault
49575770.0,929234,python,python,_PyEval_EvalFrameDefault
43441515.0,928637,python,python,_PyFrame_ClearExceptCode
42162866.0,929069,python,python,_PyFrame_ClearExceptCode
41895105.0,928912,python,python,_PyFrame_ClearExceptCode
41160474.0,929234,python,python,_PyFrame_ClearExceptCode
40697431.0,928770,python,python,_PyFrame_ClearExceptCode
39614445.0,928637,python,python,initialize_locals
36464614.0,929069,python,python,initialize_locals
35982341.0,928912,python,python,initialize_locals
35979940.0,928855,python,python,_PyFrame_ClearExceptCode
35882941.0,929234,python,python,_PyTypeCache_Lookup
34962823.0,928637,python,python,_PyObject_Malloc
34466104.0,929234,python,python,_PyObject_Malloc
33523195.0,928855,python,python,initialize_locals
33247192.0,928770,python,python,initialize_locals
32757388.0,928637,python,python,_PyEval_FrameClearAndPop
32008513.0,928770,python,python,_PyObject_Malloc
31771595.0,928855,python,python,_PyTypeCache_Lookup
31036388.0,929234,python,python,initialize_locals
31028887.0,929069,python,python,_PyObject_Malloc
30260433.0,928912,python,python,_PyObject_Malloc
30015773.0,928912,python,python,_PyTypeCache_Lookup
29791435.0,928637,python,python,gc_collect_main
29254511.0,929234,python,python,_PyEval_FrameClearAndPop
28539952.0,928855,python,python,_PyObject_Malloc
28035515.0,928637,python,python,_PyTypeCache_Lookup
27555411.0,929069,python,python,_PyObject_Free
27290549.0,928637,python,python,_PyEvalFramePushAndInit
27046989.0,929069,python,python,_PyEval_FrameClearAndPop
27037735.0,928770,python,python,_PyEval_FrameClearAndPop
26808490.0,928770,python,python,_PyTypeCache_Lookup
26311656.0,928637,python,python,_PyObject_Free
26289944.0,928637,python,python,_Py_dict_lookup
26052501.0,929234,python,python,_Py_dict_lookup
26049339.0,928912,python,python,_PyEval_FrameClearAndPop
25310363.0,928637,python,python,_PyJIT_Entry
25039273.0,928912,python,python,_PyObject_Free
24820275.0,929069,python,python,_PyTypeCache_Lookup
24323300.0,928770,python,python,gc_collect_main
24071308.0,928912,python,python,_Py_dict_lookup
23815713.0,929069,python,python,_Py_dict_lookup
23543054.0,929234,python,python,_PyObject_Free
23365207.0,928855,python,python,_PyEval_FrameClearAndPop
22824652.0,928912,python,python,gc_collect_main
22582041.0,929234,python,python,_PyEvalFramePushAndInit
22348347.0,929234,python,python,gc_collect_main
22218735.0,928855,python,python,_Py_dict_lookup
21621083.0,929069,python,python,gc_collect_main
21583907.0,928912,python,python,_PyEvalFramePushAndInit
21352134.0,928855,python,python,_PyObject_Free
21349701.0,928855,python,python,gc_collect_main
21093928.0,929069,python,python,_PyEvalFramePushAndInit
21074486.0,928770,python,python,_PyJIT_Entry
21061140.0,928912,python,python,_PyJIT_Entry
20967565.0,928855,python,python,_PyEvalFramePushAndInit
20858090.0,928637,python,python,_Py_Dealloc
20844757.0,928770,python,python,_PyEvalFramePushAndInit
20377216.0,928855,python,python,_PyJIT_Entry
20340552.0,929069,python,python,_PyJIT_Entry
20086831.0,928637,python,python,unicodekeys_lookup_unicode
19846970.0,928770,python,python,_PyObject_Free
19582584.0,929234,python,python,_PyJIT_Entry
18616004.0,928770,python,python,_Py_dict_lookup
18587460.0,928912,python,python,unicodekeys_lookup_unicode
18118850.0,928770,python,python,_Py_Dealloc
17622211.0,929234,python,python,unicodekeys_lookup_unicode
17365290.0,928770,python,python,unicodekeys_lookup_unicode
17079523.0,929069,python,python,unicodekeys_lookup_unicode
16345699.0,929234,python,python,_Py_Dealloc
16143057.0,928637,python,python,PyObject_RichCompare
15882075.0,929069,python,python,_Py_Dealloc
15639571.0,929234,python,python,PyObject_RichCompare
15618548.0,928770,python,python,PyObject_RichCompare
15387243.0,928637,python,python,_PyThreadState_PopFrame
15357822.0,928855,python,python,PyObject_RichCompare
14894121.0,928855,python,python,unicodekeys_lookup_unicode
