self,pid,command,shared_obj,symbol
63459853.0,210290,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
60802463.0,210290,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
57463328.0,210416,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
56318706.0,210290,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
55669952.0,210518,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
53400776.0,210450,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
52087203.0,210313,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
51533605.0,210380,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
51485105.0,210450,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
51072135.0,210554,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.17
47751254.0,210416,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
47429483.0,210313,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
45488968.0,210290,python,python,take_gil
44594981.0,210518,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
43893524.0,210518,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
43827952.0,210380,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
43412379.0,210450,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
43270774.0,210416,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
42910682.0,210313,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
41669435.0,210554,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
41577053.0,210554,python,libc.so.6,__GI___pthread_mutex_unlock_usercnt
41491608.0,210554,python,python,take_gil
40930008.0,210416,python,python,take_gil
39582076.0,210313,python,python,take_gil
39229330.0,210450,python,python,take_gil
38915904.0,210380,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
38535697.0,210380,python,python,take_gil
37644959.0,210518,python,libm.so.6,__cos
37380750.0,210518,python,python,take_gil
37214279.0,210380,python,libm.so.6,__cos
36488170.0,210416,python,libm.so.6,__cos
35972103.0,210290,python,libm.so.6,__cos
34000486.0,210380,python,python,__aarch64_ldclr8_acq_rel
33981663.0,210290,python,python,__aarch64_ldclr8_acq_rel
33773272.0,210554,python,libm.so.6,__cos
33746022.0,210313,python,libm.so.6,__cos
32726926.0,210313,python,python,__aarch64_ldclr8_acq_rel
31719373.0,210416,python,python,__aarch64_ldclr8_acq_rel
30774440.0,210450,python,libm.so.6,__cos
30285515.0,210518,python,python,__aarch64_ldclr8_acq_rel
28739862.0,210554,python,python,__aarch64_ldclr8_acq_rel
25815144.0,210450,python,python,__aarch64_ldclr8_acq_rel
23045095.0,210554,python,python,_Py_Dealloc
21834018.0,210313,python,python,_Py_Dealloc
20798242.0,210518,python,python,_Py_Dealloc
20558613.0,210416,python,python,_Py_Dealloc
20456634.0,210290,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
20113295.0,210290,python,python,_Py_Dealloc
18975656.0,210380,python,python,_Py_Dealloc
17332584.0,210290,python,python,_PyObject_Free
16611110.0,210313,python,python,drop_gil
15939227.0,210416,python,python,drop_gil
15898760.0,210450,python,python,_Py_Dealloc
15152143.0,210518,python,libsqlite3.so.0.8.6,0x00000000000a1120
15141808.0,210290,python,python,drop_gil
14833142.0,210416,python,libsqlite3.so.0.8.6,0x00000000000a1120
14402217.0,210313,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
14368014.0,210554,python,libsqlite3.so.0.8.6,0x00000000000a1120
14149380.0,210380,python,libsqlite3.so.0.8.6,0x00000000000a1120
14140731.0,210450,python,python,drop_gil
13898569.0,210380,python,libc.so.6,pthread_cond_signal@@GLIBC_2.17
13633299.0,210380,python,python,PyThread_get_thread_ident
13632676.0,210554,python,python,drop_gil
13600445.0,210518,python,python,drop_gil
13418293.0,210518,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
13406664.0,210554,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
13163590.0,210290,python,libsqlite3.so.0.8.6,0x00000000000a1120
12937018.0,210450,python,python,_PyObject_Free
12905922.0,210416,python,libc.so.6,pthread_cond_signal@@GLIBC_2.17
12868613.0,210290,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
12649901.0,210290,python,libc.so.6,pthread_cond_signal@@GLIBC_2.17
12633506.0,210518,python,python,_PyObject_Free
12421681.0,210450,python,libsqlite3.so.0.8.6,0x00000000000a1120
12168994.0,210290,python,libsqlite3.so.0.8.6,0x00000000000a10d0
12156633.0,210450,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
12097792.0,210416,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
11994193.0,210416,python,python,_PyObject_Malloc
11926725.0,210313,python,libsqlite3.so.0.8.6,0x00000000000a1120
11866572.0,210554,python,libc.so.6,pthread_cond_signal@@GLIBC_2.17
11866482.0,210554,python,python,_PyObject_Free
11658155.0,210313,python,python,_PyObject_Malloc
11646923.0,210313,python,libc.so.6,pthread_cond_signal@@GLIBC_2.17
11421028.0,210380,python,python,_PyThreadState_Attach
11395551.0,210518,python,python,_PyObject_Malloc
11366720.0,210380,python,python,_PyObject_Malloc
11149983.0,210290,python,python,_PyEval_EvalFrameDefault
11133202.0,210380,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.17
10927523.0,210380,python,python,drop_gil
10910721.0,210416,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
10690033.0,210290,python,python,_Py_NewReference
10656314.0,210313,python,python,_PyThreadState_Detach
10645822.0,210290,python,python,tuple_alloc
10629968.0,210290,python,python,_PyThreadState_Attach
10615417.0,210450,python,python,_PyObject_Malloc
10432211.0,210290,python,python,_PyObject_Malloc
10419674.0,210450,python,python,_PyThreadState_Attach
10397183.0,210554,python,libsqlite3.so.0.8.6,sqlite3BtreeInsert
10173571.0,210313,python,python,PyThread_get_thread_ident
10161646.0,210290,python,python,_PyThreadState_Detach
10150376.0,210554,python,python,tuple_dealloc
9940542.0,210313,python,python,_PyThreadState_Attach
9934431.0,210380,python,libsqlite3.so.0.8.6,sqlite3BtreeInsert
9929014.0,210554,python,python,_PyObject_Malloc
9913021.0,210450,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
9884227.0,210450,python,python,tuple_dealloc
9682501.0,210554,python,python,_Py_NewReference
9672320.0,210313,python,python,long_to_decimal_string_internal
9664044.0,210290,python,libsqlite3.so.0.8.6,sqlite3_mutex_enter
9645526.0,210518,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
9434681.0,210313,python,libsqlite3.so.0.8.6,0x00000000000a10d0
9432995.0,210518,python,python,_PyThreadState_Detach
9431425.0,210313,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
9430387.0,210313,python,python,_PyObject_Free
9418846.0,210416,python,python,PyThread_get_thread_ident
9405077.0,210380,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
9403950.0,210290,python,libsqlite3.so.0.8.6,0x00000000000a1110
9184750.0,210450,python,python,_PyThreadState_Detach
9182948.0,210416,python,python,_PyThreadState_Attach
9179954.0,210290,python,python,PyThread_get_thread_ident
9179254.0,210290,python,python,PyObject_GC_UnTrack
9176492.0,210380,python,python,_PyObject_Free
9163536.0,210416,python,python,_PyObject_Free
8961370.0,210313,python,libsqlite3.so.0.8.6,sqlite3_mutex_enter
8931303.0,210518,python,python,PyThread_get_thread_ident
8701048.0,210290,python,python,long_to_decimal_string_internal
8694539.0,210450,python,python,PyFloat_FromDouble
8689142.0,210416,python,python,tuple_dealloc
8687094.0,210416,python,libsqlite3.so.0.8.6,0x00000000000a10d0
8654112.0,210554,python,_sqlite3.cpython-316-aarch64-linux-gnu.so,_pysqlite_query_execute
8647645.0,210380,python,libsqlite3.so.0.8.6,sqlite3_mutex_enter
8445077.0,210554,python,libsqlite3.so.0.8.6,sqlite3ApiExit
8441653.0,210518,python,python,_Py_NewReference
8439809.0,210518,python,libc.so.6,pthread_cond_signal@@GLIBC_2.17
8433680.0,210290,python,python,PyFloat_FromDouble
8418409.0,210554,python,python,_PyThreadState_Detach
8418041.0,210416,python,python,_PyThreadState_Detach
8216517.0,210290,python,libsqlite3.so.0.8.6,sqlite3BtreeInsert
8194429.0,210554,python,python,_PyThreadState_Attach
8189611.0,210380,python,python,_PyThreadState_Detach
