self,pid,command,shared_obj,symbol
69241217.0,214631,python,python,_PyObject_Malloc
67789472.0,214881,python,python,_PyObject_Malloc
60922396.0,214916,python,python,_PyObject_Malloc
60811738.0,214631,python,python,_PyObject_Free
59924113.0,214726,python,python,_PyObject_Malloc
57818267.0,214762,python,python,_PyObject_Malloc
55175463.0,214659,python,python,_PyObject_Malloc
51144430.0,214659,python,python,_PyObject_Free
50500825.0,214916,python,python,_PyObject_Free
49635114.0,214726,python,python,_PyObject_Free
49253223.0,214762,python,python,_PyObject_Free
47300180.0,214881,python,python,_PyObject_Free
41518436.0,214631,python,python,_Py_Dealloc
40594109.0,214916,python,python,_Py_Dealloc
39782532.0,214726,python,python,_Py_Dealloc
38373495.0,214762,python,python,PyContextVar_Get
37625245.0,214762,python,python,_Py_Dealloc
35962502.0,214881,python,python,_Py_Dealloc
35824284.0,214916,python,python,PyContextVar_Get
35650726.0,214631,python,python,PyContextVar_Get
34902770.0,214631,python,python,_Py_VectorCall_StackRefSteal
34389945.0,214762,python,python,_Py_VectorCall_StackRefSteal
34315389.0,214659,python,python,_Py_Dealloc
33380040.0,214881,python,python,PyContextVar_Get
31882188.0,214659,python,python,PyContextVar_Get
31707843.0,214631,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qadd
31168423.0,214726,python,python,PyContextVar_Get
29971863.0,214881,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qadd
28972323.0,214659,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qadd
28951664.0,214631,python,python,PyCMethod_New
28946881.0,214726,python,python,_Py_VectorCall_StackRefSteal
28486192.0,214659,python,python,_Py_VectorCall_StackRefSteal
28440421.0,214762,python,python,PyCMethod_New
28335306.0,214726,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qadd
28190168.0,214881,python,python,PyCMethod_New
27970467.0,214726,python,python,PyObject_GC_UnTrack
27141809.0,214881,python,python,_PyObject_GC_New
26915577.0,214659,python,python,PyObject_GC_UnTrack
26009956.0,214881,python,python,_Py_VectorCall_StackRefSteal
25989957.0,214916,python,python,_PyObject_GC_New
25750644.0,214916,python,python,PyCMethod_New
25742738.0,214726,python,python,PyCMethod_New
25444861.0,214916,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qadd
25253957.0,214916,python,python,_Py_VectorCall_StackRefSteal
25219347.0,214916,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qmul
25207669.0,214631,python,python,_PyObject_GC_New
25199857.0,214631,python,python,PyObject_GC_UnTrack
24992612.0,214762,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qadd
24950120.0,214631,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qmul
24005862.0,214659,python,python,PyCMethod_New
23988545.0,214726,python,python,_PyObject_GC_New
23983714.0,214762,python,_decimal.cpython-316-aarch64-linux-gnu.so,nm_mpd_qmul
23964585.0,214762,python,python,PyObject_GC_UnTrack
23761771.0,214631,python,libmpdec.so.4.0.1,mpd_qfinalize
23669510.0,214881,python,python,PyObject_GC_UnTrack
23251568.0,214916,python,python,PyObject_GC_Del
22743610.0,214631,python,python,_PyTypeCache_Lookup
22559705.0,214659,python,libmpdec.so.4.0.1,mpd_qfinalize
22480862.0,214762,python,python,_PyObject_GenericGetAttrWithDict
22463165.0,214881,python,python,PyObject_GC_Del
22275466.0,214762,python,python,_PyArg_UnpackKeywords
22216535.0,214726,python,python,_PyTypeCache_Lookup
22037653.0,214726,python,libmpdec.so.4.0.1,mpd_qfinalize
22008852.0,214916,python,python,_PyTypeCache_Lookup
21480012.0,214631,python,python,PyObject_GC_Del
21283652.0,214762,python,libmpdec.so.4.0.1,mpd_qfinalize
