self,pid,command,shared_obj,symbol
228161868.0,215151,python,python,_PyEval_EvalFrameDefault
195685946.0,215249,python,python,_PyEval_EvalFrameDefault
193403860.0,215351,python,python,_PyEval_EvalFrameDefault
191487330.0,215280,python,python,_PyEval_EvalFrameDefault
190422771.0,215460,python,python,_PyEval_EvalFrameDefault
185466298.0,215382,python,python,_PyEval_EvalFrameDefault
180306712.0,215214,python,python,_PyEval_EvalFrameDefault
44508146.0,215151,python,python,_PyObject_Malloc
42331278.0,215151,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
40521836.0,215151,python,python,initialize_locals
38057873.0,215151,python,python,_PyTypeCache_Lookup
37931351.0,215280,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
36508672.0,215151,python,python,_PyObject_Free
36121717.0,215249,python,python,_PyObject_Malloc
35272704.0,215382,python,python,_PyObject_Malloc
35218109.0,215214,python,python,_PyObject_Malloc
34866473.0,215151,python,python,unicodekeys_lookup_unicode
34793819.0,215351,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
34062122.0,215382,python,python,_PyObject_Free
33880881.0,215214,python,python,unicodekeys_lookup_unicode
33350385.0,215280,python,python,_PyObject_Malloc
33006892.0,215460,python,python,_PyObject_Free
32858307.0,215214,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
31301350.0,215382,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
31295481.0,215214,python,python,initialize_locals
31226708.0,215460,python,python,_PyObject_Malloc
31076658.0,215351,python,python,initialize_locals
30622849.0,215351,python,python,unicodekeys_lookup_unicode
30449918.0,215280,python,python,_PyObject_Free
30398018.0,215280,python,python,initialize_locals
30331158.0,215351,python,python,_PyObject_Malloc
30219962.0,215151,python,python,_Py_Dealloc
29554158.0,215460,python,python,_PyTypeCache_Lookup
29461532.0,215151,python,python,_Py_dict_lookup
29400790.0,215351,python,python,_PyObject_Free
29181323.0,215214,python,python,_PyObject_Free
28712386.0,215382,python,python,unicodekeys_lookup_unicode
28645530.0,215460,python,python,unicodekeys_lookup_unicode
28451122.0,215249,python,python,_PyObject_Free
28420726.0,215249,python,python,unicodekeys_lookup_unicode
28410693.0,215382,python,python,initialize_locals
27962628.0,215460,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
26704992.0,215460,python,python,initialize_locals
26466518.0,215280,python,python,_Py_dict_lookup
26433372.0,215351,python,python,_PyTypeCache_Lookup
26403867.0,215249,python,python,_Py_dict_lookup
26286727.0,215214,python,python,_PyTypeCache_Lookup
26210700.0,215214,python,python,_Py_dict_lookup
26043931.0,215249,python,python,initialize_locals
26019661.0,215249,python,"apache::thrift::py::TType,","apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::encodeValue(_object*,"
25762431.0,215280,python,python,_Py_Dealloc
25699492.0,215460,python,python,_PyEval_EvalFrameDefault
25679573.0,215351,python,python,_Py_dict_lookup
25675268.0,215382,python,python,_PyTypeCache_Lookup
25213977.0,215280,python,python,unicodekeys_lookup_unicode
24485551.0,215351,python,python,_PyEval_EvalFrameDefault
24452890.0,215280,python,python,_PyEval_EvalFrameDefault
23492020.0,215351,python,python,_Py_Dealloc
23237608.0,215151,python,python,_PyObject_GenericGetAttrWithDict
22990201.0,215351,python,python,_PyFrame_ClearExceptCode
22797797.0,215214,python,python,_PyEval_EvalFrameDefault
22780593.0,215249,python,python,_PyTypeCache_Lookup
22736134.0,215382,python,python,_PyEval_EvalFrameDefault
22238187.0,215214,python,python,_Py_Dealloc
21797251.0,215460,python,python,_Py_dict_lookup
21731746.0,215151,python,python,_PyFrame_ClearExceptCode
21479635.0,215151,python,python,insertdict
20984372.0,215249,python,python,_Py_Dealloc
20757529.0,215460,python,python,PyDict_GetItemRef
20574028.0,215249,python,python,_PyObject_GenericGetAttrWithDict
20293896.0,215460,python,python,_Py_Dealloc
20013425.0,215382,python,python,_Py_Dealloc
19813018.0,215382,python,python,_PyObject_GenericGetAttrWithDict
19737993.0,215382,python,python,_PyFrame_ClearExceptCode
19230791.0,215214,python,python,_PyObject_GenericGetAttrWithDict
19111876.0,215382,python,python,_Py_dict_lookup
19068807.0,215151,python,python,insert_to_emptydict
19053225.0,215382,python,python,insertdict
18986500.0,215214,python,python,insertdict
18806051.0,215280,python,python,_PyObject_GenericGetAttrWithDict
18789490.0,215351,python,python,insert_to_emptydict
18551451.0,215460,python,python,_PyFrame_ClearExceptCode
18519971.0,215249,python,python,_PyFrame_ClearExceptCode
18318308.0,215460,python,python,insert_to_emptydict
18234911.0,215151,python,python,PyDict_GetItemRef
18186359.0,215280,python,python,_PyFrame_ClearExceptCode
18022197.0,215249,python,python,insert_to_emptydict
17831603.0,215280,python,python,insert_to_emptydict
17748117.0,215214,python,python,PyDict_GetItemRef
17551648.0,215151,python,python,dictkeys_decref.part.0.constprop.0
17548598.0,215351,python,python,_PyObject_GenericGetAttrWithDict
17522117.0,215460,python,python,_PyObject_GenericGetAttrWithDict
17511296.0,215151,python,python,_PyEvalFramePushAndInit
17322351.0,215249,python,python,insertdict
17321050.0,215214,python,python,_PyFrame_ClearExceptCode
17297030.0,215280,python,python,_PyTypeCache_Lookup
17281771.0,215351,python,python,insertdict
17069351.0,215351,python,python,PyDict_GetItemRef
16320525.0,215214,python,python,insert_to_emptydict
16300984.0,215382,python,python,PyDict_GetItemRef
16063447.0,215214,python,python,PyObject_GC_UnTrack
16061450.0,215249,python,python,PyDict_GetItemRef
15849027.0,215280,python,python,PyObject_GC_UnTrack
15766291.0,215382,python,python,insert_to_emptydict
15590027.0,215151,python,python,PyObject_GC_UnTrack
15588732.0,215351,python,python,_PyEvalFramePushAndInit
15341383.0,215351,python,python,PyObject_GC_UnTrack
15314486.0,215151,python,python,PyLong_AsLong
15106541.0,215460,python,python,insertdict
14794790.0,215214,python,python,_PyEvalFramePushAndInit
14604128.0,215280,python,python,PyDict_GetItemRef
14564052.0,215382,python,python,dictkeys_decref.part.0.constprop.0
14420612.0,215280,python,python,PyObject_ClearManagedDict
14362768.0,215151,python,python,PyObject_ClearManagedDict
14108390.0,215249,python,python,dictkeys_decref.part.0.constprop.0
14087271.0,215460,python,int),"apache::thrift::py::ProtocolBase<apache::thrift::py::BinaryProtocol>::readBytes(char**,"
13882137.0,215382,python,python,_PyEvalFramePushAndInit
13571649.0,215280,python,python,dictkeys_decref.part.0.constprop.0
13358635.0,215382,python,python,PyDict_Next
13137974.0,215460,python,python,_PyEval_FrameClearAndPop
13123702.0,215280,python,python,insertdict
13115794.0,215249,python,python,PyObject_RichCompareBool
13091259.0,215382,python,python,PyObject_RichCompareBool
13085884.0,215351,python,python,PyObject_ClearManagedDict
