self,pid,command,shared_obj,symbol
801808202.0,223010,python,python,_PyEval_EvalFrameDefault
747108876.0,223171,python,python,_PyEval_EvalFrameDefault
732098118.0,223355,python,python,_PyEval_EvalFrameDefault
731185019.0,223265,python,python,_PyEval_EvalFrameDefault
720622216.0,223421,python,python,_PyEval_EvalFrameDefault
714349755.0,223514,python,python,_PyEval_EvalFrameDefault
710813444.0,223091,python,python,_PyEval_EvalFrameDefault
101799533.0,223265,python,python,_PyEval_EvalFrameDefault
101113905.0,223355,python,python,_PyEval_EvalFrameDefault
99840526.0,223514,python,python,_PyEval_EvalFrameDefault
98799587.0,223171,python,python,_PyEval_EvalFrameDefault
97544568.0,223421,python,python,_PyEval_EvalFrameDefault
85514490.0,223421,python,python,_PyObject_Malloc
84621939.0,223010,python,python,_PyObject_Malloc
84545260.0,223091,python,python,_PyObject_Malloc
79477035.0,223171,python,python,_PyObject_Malloc
78955618.0,223514,python,python,_PyObject_Malloc
75323123.0,223265,python,python,_PyObject_Malloc
75234934.0,223355,python,python,_PyObject_Malloc
72187935.0,223010,python,python,_PyFrame_ClearExceptCode
71505488.0,223355,python,python,_PyTypeCache_Lookup
70309083.0,223010,python,python,_PyTypeCache_Lookup
69579451.0,223265,python,python,_PyFrame_ClearExceptCode
67036891.0,223171,python,python,_PyTypeCache_Lookup
65787138.0,223421,python,python,_PyTypeCache_Lookup
65763991.0,223265,python,python,_PyTypeCache_Lookup
64353041.0,223171,python,python,_PyFrame_ClearExceptCode
63991906.0,223421,python,python,_PyFrame_ClearExceptCode
63594387.0,223514,python,python,_PyFrame_ClearExceptCode
63455787.0,223355,python,python,_PyFrame_ClearExceptCode
62330303.0,223091,python,python,_PyFrame_ClearExceptCode
62320971.0,223010,python,libc.so.6,__memcpy_generic
62054315.0,223265,python,libc.so.6,__memcpy_generic
62001494.0,223171,python,libc.so.6,__memcpy_generic
61531906.0,223091,python,python,_PyTypeCache_Lookup
60285535.0,223514,python,libc.so.6,__memcpy_generic
58924712.0,223514,python,python,_PyTypeCache_Lookup
57981859.0,223421,python,libc.so.6,__memcpy_generic
56238009.0,223355,python,libc.so.6,__memcpy_generic
53518788.0,223010,python,python,_Py_Dealloc
52669700.0,223091,python,libc.so.6,__memcpy_generic
51534700.0,223091,python,python,_Py_Dealloc
50542448.0,223421,python,python,sre_ucs1_match
48992175.0,223091,python,python,sre_ucs1_match
48345461.0,223355,python,python,_PyObject_Free
47276243.0,223091,python,python,_PyObject_Free
47120773.0,223010,python,python,sre_ucs1_match
46151189.0,223514,python,python,initialize_locals
45842553.0,223265,python,python,sre_ucs1_match
45613805.0,223421,python,python,_Py_Dealloc
45382151.0,223265,python,python,_Py_Dealloc
45225958.0,223355,python,python,_Py_Dealloc
44584126.0,223010,python,python,initialize_locals
44362738.0,223514,python,python,_PyObject_Free
44158185.0,223265,python,python,_PyObject_Free
44151750.0,223265,python,python,initialize_locals
43037536.0,223421,python,python,initialize_locals
42929228.0,223421,python,python,_PyObject_Free
42422037.0,223091,python,python,initialize_locals
42105610.0,223355,python,python,sre_ucs1_match
41803774.0,223355,python,python,initialize_locals
41792254.0,223171,python,python,_Py_Dealloc
41575779.0,223171,python,python,_PyObject_Free
41241480.0,223010,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
40452915.0,223171,python,python,initialize_locals
40401151.0,223514,python,python,_Py_Dealloc
40379344.0,223171,python,python,sre_ucs1_match
40043455.0,223514,python,python,sre_ucs1_match
39516152.0,223010,python,python,_PyObject_Free
35952592.0,223355,python,python,_PyEval_FrameClearAndPop
33146623.0,223355,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
32036726.0,223171,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
31983761.0,223091,python,python,_PyEval_FrameClearAndPop
31975708.0,223514,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
31399932.0,223421,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
31177978.0,223010,python,python,_PyEval_FrameClearAndPop
30470222.0,223091,python,python,PyObject_GC_UnTrack
30322859.0,223010,python,python,_Py_dict_lookup
30236468.0,223421,python,python,_PyEval_FrameClearAndPop
30031903.0,223171,python,python,_PyEval_FrameClearAndPop
29334274.0,223010,python,python,PyObject_GC_UnTrack
29076511.0,223355,python,python,PyObject_GC_UnTrack
28855448.0,223265,python,[kernel.kallsyms],_raw_spin_unlock_irqrestore
